Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
19.2,170.0,56.0,41.0,Rectangle,0.0,1.0,0.0
33.0,187.0,83.0,43.0,Rectangle,0.0,1.0,0.0
30.0,185.0,78.0,43.0,Rectangle,0.0,1.0,0.0
21.9,182.0,58.0,43.5,Triangle,0.0,0.0,1.0
26.0,173.0,70.0,42.0,Inverted Triangle,1.0,0.0,0.0
21.0,190.0,72.0,46.0,Rectangle,0.0,1.0,0.0
30.3,175.0,72.0,42.0,Rectangle,0.0,1.0,0.0
36.5,184.0,82.0,43.0,Rectangle,0.0,1.0,0.0
21.0,178.0,68.0,42.0,Rectangle,0.0,1.0,0.0
50.0,173.0,90.0,43.0,Triangle,0.0,0.0,1.0
22.0,177.0,70.0,42.0,Rectangle,0.0,1.0,0.0
20.0,180.0,70.0,43.0,Rectangle,0.0,1.0,0.0
22.2,170.0,63.0,42.0,Inverted Triangle,1.0,0.0,0.0
18.4,170.0,69.0,42.5,Inverted Triangle,1.0,0.0,0.0
26.3,178.0,72.0,43.5,Rectangle,0.0,1.0,0.0
23.0,196.0,102.7,46.0,Triangle,0.0,0.0,1.0
26.7,173.0,73.0,41.0,Triangle,0.0,0.0,1.0
19.0,192.0,80.0,44.0,Rectangle,0.0,1.0,0.0
32.0,180.0,81.0,42.0,Inverted Triangle,1.0,0.0,0.0
43.0,184.0,102.0,43.0,Triangle,0.0,0.0,1.0
46.9,175.0,78.0,41.0,Inverted Triangle,1.0,0.0,0.0
30.5,172.0,72.0,41.0,Rectangle,0.0,1.0,0.0
47.0,195.0,94.0,43.0,Rectangle,0.0,1.0,0.0
27.1,174.0,73.0,42.0,Rectangle,0.0,1.0,0.0
31.0,187.0,100.0,46.0,Triangle,0.0,0.0,1.0
40.0,180.0,96.0,43.0,Triangle,0.0,0.0,1.0
45.1,170.0,68.0,41.0,Triangle,0.0,0.0,1.0
41.7,174.0,76.0,42.0,Triangle,0.0,0.0,1.0
