"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
894.0,987.0,525.0,992.0,834.0,589.0,475.0,1035.0,642.0,1002.0,76.3,70.07,80.12
755.0,843.0,465.0,891.0,780.0,506.0,447.0,990.0,623.0,874.0,60.2,66.0,78.0
797.0,912.0,469.0,963.0,878.0,565.0,449.0,1051.0,659.0,958.0,72.9,72.0,74.0
957.0,1055.0,482.0,1022.0,819.0,603.0,478.0,1017.0,626.0,1093.0,82.1,73.48,86.82
859.0,892.0,471.0,931.0,928.0,520.0,462.0,1133.0,674.0,939.0,67.5,70.65,85.5
935.0,1068.0,484.0,1063.0,794.0,589.0,476.0,1013.0,612.0,1030.0,80.0,71.53,83.98
886.0,983.0,492.0,966.0,856.0,571.0,473.0,1067.0,645.0,1004.0,82.7,70.71,93.46
943.0,1011.0,485.0,963.0,761.0,529.0,443.0,1008.0,585.0,950.0,77.6,60.11,81.14
835.0,940.0,473.0,1022.0,814.0,609.0,464.0,1040.0,628.0,969.0,77.0,63.37,87.22
874.0,962.0,470.0,993.0,970.0,570.0,472.0,1165.0,715.0,980.0,77.0,68.64,96.73
801.0,925.0,445.0,990.0,770.0,610.0,446.0,1009.0,622.0,930.0,67.4,66.0,74.0
718.0,842.0,445.0,873.0,857.0,501.0,434.0,1075.0,631.0,899.0,60.0,65.4,95.04
902.0,1028.0,485.0,1064.0,873.0,626.0,501.0,1096.0,648.0,1040.0,85.0,64.34,99.44
771.0,860.0,457.0,961.0,854.0,549.0,451.0,1097.0,648.0,897.0,68.7,80.0,84.0
905.0,1023.0,522.0,1003.0,837.0,579.0,489.0,1056.0,642.0,1059.0,84.5,67.66,91.21
750.0,856.0,456.0,931.0,798.0,512.0,395.0,977.0,598.0,883.0,60.1,59.0,75.0
850.0,1005.0,502.0,987.0,787.0,580.0,469.0,1023.0,602.0,1029.0,74.4,70.0,80.0
938.0,1122.0,520.0,1118.0,864.0,662.0,526.0,1095.0,659.0,1119.0,101.3,74.89,86.36
898.0,985.0,501.0,1023.0,834.0,585.0,495.0,1027.0,657.0,995.0,79.4,66.0,83.0
1005.0,1190.0,527.0,1075.0,886.0,617.0,520.0,1108.0,676.0,1169.0,103.2,78.24,93.59
942.0,1139.0,527.0,1095.0,921.0,624.0,528.0,1160.0,638.0,1141.0,98.9,83.68,92.16
957.0,1035.0,569.0,1032.0,803.0,601.0,473.0,1025.0,637.0,1038.0,86.4,59.31,88.19
862.0,925.0,453.0,916.0,743.0,509.0,428.0,993.0,583.0,938.0,62.5,68.84,81.84
972.0,1059.0,537.0,1035.0,892.0,569.0,475.0,1130.0,700.0,1077.0,87.5,68.09,81.77
1192.0,1218.0,514.0,1089.0,779.0,679.0,471.0,1023.0,599.0,1151.0,107.2,78.69,103.2
832.0,932.0,500.0,986.0,785.0,583.0,435.0,992.0,604.0,970.0,74.5,64.0,83.0
1011.0,1097.0,517.0,1117.0,933.0,662.0,528.0,1157.0,710.0,1121.0,110.3,82.08,96.85
811.0,1029.0,510.0,1010.0,827.0,590.0,502.0,1020.0,658.0,1064.0,81.2,76.0,90.0
809.0,936.0,469.0,965.0,787.0,560.0,444.0,1037.0,586.0,952.0,68.2,72.0,91.0
851.0,991.0,480.0,977.0,867.0,582.0,479.0,1084.0,667.0,1012.0,81.1,72.0,82.0
874.0,972.0,502.0,1064.0,756.0,641.0,446.0,978.0,614.0,961.0,76.3,66.0,79.0
1005.0,1029.0,514.0,1072.0,918.0,574.0,486.0,1152.0,667.0,1047.0,90.2,78.67,109.54
862.0,918.0,497.0,944.0,858.0,546.0,447.0,1069.0,647.0,936.0,71.0,72.12,87.93
1199.0,1362.0,560.0,1222.0,817.0,729.0,576.0,1059.0,676.0,1316.0,140.0,71.93,91.43
742.0,877.0,445.0,900.0,752.0,533.0,421.0,950.0,582.0,925.0,57.7,60.0,66.0
783.0,874.0,457.0,896.0,825.0,491.0,421.0,1006.0,643.0,900.0,58.1,62.0,79.0
899.0,1058.0,443.0,1106.0,836.0,625.0,477.0,1106.0,639.0,1027.0,78.8,68.7,88.36
844.0,923.0,442.0,1009.0,899.0,567.0,433.0,1084.0,645.0,936.0,72.3,68.17,77.36
914.0,973.0,465.0,941.0,742.0,553.0,417.0,989.0,613.0,934.0,68.0,72.0,74.0
907.0,1000.0,452.0,980.0,702.0,525.0,448.0,958.0,546.0,989.0,66.9,73.23,86.46
819.0,942.0,488.0,985.0,789.0,579.0,440.0,998.0,598.0,980.0,71.5,74.0,84.0
810.0,922.0,442.0,991.0,914.0,569.0,453.0,1094.0,640.0,949.0,76.9,66.1,85.66
760.0,872.0,480.0,960.0,818.0,550.0,452.0,1041.0,639.0,895.0,67.8,64.0,82.0
1005.0,1100.0,520.0,1059.0,842.0,630.0,490.0,1083.0,692.0,1091.0,98.8,74.59,102.29
858.0,1006.0,464.0,1051.0,794.0,636.0,484.0,993.0,598.0,1021.0,79.0,61.95,81.15
867.0,1099.0,482.0,1090.0,890.0,660.0,535.0,1101.0,672.0,1138.0,98.3,64.89,90.7
744.0,938.0,455.0,956.0,975.0,528.0,456.0,1222.0,707.0,997.0,72.8,67.16,87.8
822.0,942.0,452.0,1011.0,884.0,572.0,476.0,1101.0,636.0,959.0,74.5,77.44,91.99
959.0,995.0,488.0,954.0,897.0,500.0,415.0,1115.0,632.0,1005.0,70.8,72.25,91.75
991.0,1073.0,517.0,1028.0,886.0,592.0,506.0,1126.0,678.0,1078.0,102.2,84.36,114.08
875.0,864.0,485.0,1006.0,798.0,565.0,453.0,1033.0,634.0,1000.0,73.0,68.0,82.0
735.0,901.0,452.0,912.0,735.0,557.0,444.0,933.0,608.0,907.0,61.9,60.0,73.0
878.0,1050.0,521.0,1002.0,925.0,572.0,500.0,1175.0,674.0,1091.0,83.4,70.08,108.63
880.0,973.0,456.0,1018.0,785.0,580.0,458.0,1052.0,628.0,964.0,73.2,74.0,87.0
826.0,944.0,454.0,1000.0,843.0,615.0,443.0,1112.0,603.0,956.0,75.5,71.5,89.5
807.0,961.0,490.0,955.0,815.0,546.0,443.0,1051.0,656.0,977.0,69.4,68.0,86.0
805.0,850.0,496.0,870.0,859.0,507.0,462.0,1029.0,656.0,890.0,61.6,70.0,81.0
1005.0,1069.0,533.0,1102.0,917.0,665.0,520.0,1150.0,682.0,1059.0,100.5,84.14,95.85
860.0,938.0,449.0,1045.0,848.0,606.0,457.0,1032.0,635.0,967.0,76.7,70.22,93.84
877.0,981.0,505.0,963.0,787.0,578.0,482.0,984.0,638.0,1011.0,75.0,70.0,73.0
955.0,1026.0,470.0,1074.0,813.0,660.0,500.0,1027.0,701.0,1045.0,87.2,76.0,89.0
823.0,973.0,480.0,956.0,892.0,560.0,457.0,1072.0,666.0,1014.0,71.6,80.0,80.0
887.0,1050.0,500.0,1007.0,879.0,567.0,480.0,1103.0,667.0,1060.0,84.5,85.0,93.0
802.0,943.0,478.0,959.0,861.0,546.0,450.0,1053.0,657.0,969.0,72.3,70.0,83.0
819.0,979.0,517.0,1007.0,892.0,592.0,471.0,1141.0,672.0,1003.0,78.0,71.27,83.81
962.0,1125.0,487.0,1111.0,820.0,617.0,507.0,988.0,659.0,1099.0,97.6,65.0,82.0
909.0,1080.0,513.0,1057.0,804.0,617.0,497.0,1011.0,637.0,1104.0,85.3,67.0,90.0
802.0,914.0,475.0,932.0,832.0,543.0,440.0,1034.0,660.0,964.0,68.5,68.0,75.0
762.0,918.0,470.0,965.0,846.0,577.0,445.0,1046.0,655.0,921.0,71.4,76.0,85.0
942.0,1007.0,512.0,1075.0,867.0,612.0,492.0,1129.0,643.0,1028.0,89.5,90.16,112.36
1048.0,1153.0,519.0,1075.0,793.0,652.0,502.0,1034.0,612.0,1141.0,87.4,69.61,86.72
961.0,1071.0,496.0,1110.0,905.0,654.0,496.0,1140.0,595.0,1079.0,100.1,71.96,98.12
800.0,936.0,494.0,924.0,886.0,539.0,495.0,1002.0,650.0,981.0,73.3,77.27,103.77
894.0,928.0,465.0,982.0,844.0,526.0,470.0,1018.0,614.0,969.0,67.0,71.34,81.75
912.0,1125.0,520.0,1008.0,818.0,579.0,479.0,1005.0,602.0,1145.0,80.9,72.0,86.0
817.0,921.0,438.0,1017.0,864.0,592.0,475.0,1066.0,649.0,957.0,73.5,77.64,90.91
932.0,1005.0,482.0,1010.0,765.0,620.0,470.0,1014.0,620.0,996.0,78.3,76.0,85.0
987.0,1085.0,527.0,1131.0,925.0,655.0,504.0,1160.0,701.0,1067.0,102.8,76.07,99.27
807.0,883.0,459.0,1011.0,798.0,575.0,450.0,1019.0,600.0,899.0,68.0,72.3,105.25
945.0,1053.0,486.0,1042.0,787.0,606.0,470.0,972.0,606.0,1067.0,86.6,69.8,82.46
1036.0,1064.0,528.0,1088.0,877.0,609.0,497.0,1162.0,685.0,1045.0,105.1,84.55,107.8
