Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle
33.0,175.0,80.0,42.0,Triangle,1.09534127843987,0.0,0.0,1.0
27.0,191.0,75.0,42.0,Rectangle,1.158403869407497,0.0,1.0,0.0
51.0,186.0,92.5,44.0,Triangle,1.0163304514889528,0.0,0.0,1.0
43.0,191.0,98.0,46.0,Rectangle,1.1139896373056994,0.0,1.0,0.0
38.0,186.0,70.0,43.0,Inverted Triangle,1.206060606060606,1.0,0.0,0.0
38.0,188.0,83.0,43.0,Triangle,1.1093394077448746,0.0,0.0,1.0
22.8,179.0,73.0,43.0,Inverted Triangle,1.2952853598014888,1.0,0.0,0.0
43.0,168.0,70.0,41.0,Inverted Triangle,1.1790123456790123,1.0,0.0,0.0
18.5,175.0,60.0,42.0,Rectangle,1.1655629139072847,0.0,1.0,0.0
36.0,172.0,70.0,41.0,Triangle,1.0805523590333717,0.0,0.0,1.0
34.0,192.0,92.0,46.0,Rectangle,1.1180931744312026,0.0,1.0,0.0
41.0,180.0,75.0,44.0,Triangle,1.0661434977578474,0.0,0.0,1.0
29.0,180.0,72.0,42.0,Rectangle,1.1578947368421053,0.0,1.0,0.0
22.0,196.0,80.0,45.0,Rectangle,1.1214528944381386,0.0,1.0,0.0
23.0,183.0,61.0,43.0,Inverted Triangle,1.1763157894736842,1.0,0.0,0.0
25.0,186.0,77.0,44.0,Inverted Triangle,1.2131578947368422,1.0,0.0,0.0
32.0,196.0,90.0,46.0,Rectangle,1.1243628950050968,0.0,1.0,0.0
30.0,190.0,96.0,43.0,Rectangle,1.1109989909182645,0.0,1.0,0.0
60.0,178.0,72.0,42.0,Rectangle,1.1126436781609195,0.0,1.0,0.0
55.4,173.0,78.0,41.0,Triangle,1.101063829787234,0.0,0.0,1.0
45.1,170.0,68.0,41.0,Triangle,1.0601589103291713,0.0,0.0,1.0
23.0,182.0,69.0,43.0,Inverted Triangle,1.259872611464968,1.0,0.0,0.0
27.0,202.0,90.0,45.0,Triangle,1.0991379310344827,0.0,0.0,1.0
18.8,177.0,62.0,43.5,Inverted Triangle,1.2551724137931035,1.0,0.0,0.0
53.0,176.0,87.0,42.0,Inverted Triangle,1.178844056706652,1.0,0.0,0.0
19.1,175.0,63.0,41.5,Rectangle,1.1329032258064515,0.0,1.0,0.0
22.0,184.0,70.0,44.0,Inverted Triangle,1.220316622691293,1.0,0.0,0.0
38.0,175.0,75.0,43.0,Inverted Triangle,1.2156398104265402,1.0,0.0,0.0
22.0,197.5,95.0,46.0,Triangle,1.0069860279441119,0.0,0.0,1.0
31.9,168.0,80.0,40.5,Triangle,1.0881720430107527,0.0,0.0,1.0
26.0,180.0,82.0,43.0,Inverted Triangle,1.2052752293577982,1.0,0.0,0.0
23.0,192.0,105.0,45.0,Triangle,1.0056179775280898,0.0,0.0,1.0
21.0,178.0,68.0,42.0,Rectangle,1.1614077669902914,0.0,1.0,0.0
40.0,194.0,82.0,44.0,Triangle,1.0527426160337552,0.0,0.0,1.0
55.0,182.0,73.0,42.0,Inverted Triangle,1.2344740177439797,1.0,0.0,0.0
43.0,182.0,84.0,44.0,Inverted Triangle,1.2194285714285715,1.0,0.0,0.0
22.2,170.0,63.0,42.0,Inverted Triangle,1.2076433121019108,1.0,0.0,0.0
30.0,182.0,77.0,44.0,Inverted Triangle,1.2147165259348613,1.0,0.0,0.0
64.3,180.0,81.0,43.5,Rectangle,1.1629711751662972,0.0,1.0,0.0
23.0,182.0,66.0,43.5,Inverted Triangle,1.1914634146341463,1.0,0.0,0.0
46.0,168.0,78.0,42.0,Rectangle,1.1378205128205128,0.0,1.0,0.0
21.0,175.0,50.0,40.0,Inverted Triangle,1.2287390029325513,1.0,0.0,0.0
42.2,172.0,78.0,42.5,Triangle,1.1005464480874316,0.0,0.0,1.0
29.0,195.0,116.0,46.0,Rectangle,1.1223506743737957,0.0,1.0,0.0
19.7,176.0,60.0,43.0,Rectangle,1.1217391304347826,0.0,1.0,0.0
28.0,177.0,68.0,42.0,Rectangle,1.136200716845878,0.0,1.0,0.0
37.0,190.0,100.0,47.0,Triangle,1.0,0.0,0.0,1.0
34.0,205.0,100.0,47.0,Inverted Triangle,1.280373831775701,1.0,0.0,0.0
26.0,184.0,61.0,43.0,Inverted Triangle,1.288702928870293,1.0,0.0,0.0
30.0,187.0,80.0,42.0,Triangle,0.9969635627530364,0.0,0.0,1.0
65.0,170.0,92.0,41.0,Rectangle,1.138751238850347,0.0,1.0,0.0
27.1,174.0,73.0,42.0,Rectangle,1.1418994413407821,0.0,1.0,0.0
22.0,190.0,78.0,45.0,Rectangle,1.1148325358851674,0.0,1.0,0.0
38.0,165.0,59.0,41.0,Inverted Triangle,1.2228047182175623,1.0,0.0,0.0
38.0,178.0,75.0,43.0,Triangle,1.0963045912653975,0.0,0.0,1.0
39.0,169.0,62.0,41.0,Inverted Triangle,1.2196452933151432,1.0,0.0,0.0
37.0,184.0,110.0,44.0,Rectangle,1.1146744412050535,0.0,1.0,0.0
53.1,172.0,66.0,42.0,Rectangle,1.1448275862068966,0.0,1.0,0.0
41.0,175.0,75.0,40.0,Inverted Triangle,1.2014833127317677,1.0,0.0,0.0
29.3,168.0,87.0,41.0,Inverted Triangle,1.302857142857143,1.0,0.0,0.0
49.0,183.0,95.0,43.0,Triangle,1.0811623246492985,0.0,0.0,1.0
60.0,175.0,98.0,42.0,Rectangle,1.1177052423343226,0.0,1.0,0.0
20.0,175.0,60.0,41.0,Rectangle,1.1619537275064267,0.0,1.0,0.0
21.9,177.0,57.0,43.0,Inverted Triangle,1.1770700636942675,1.0,0.0,0.0
38.0,193.0,75.0,44.0,Inverted Triangle,1.234375,1.0,0.0,0.0
41.8,167.0,70.0,42.0,Rectangle,1.1399548532731376,0.0,1.0,0.0
42.0,204.0,125.0,48.0,Rectangle,1.1239669421487604,0.0,1.0,0.0
57.8,161.0,76.0,38.0,Inverted Triangle,1.1731374606505771,1.0,0.0,0.0
22.5,175.0,65.0,43.5,Inverted Triangle,1.227390180878553,1.0,0.0,0.0
46.0,191.0,78.0,45.0,Triangle,1.0746791131855309,0.0,0.0,1.0
19.5,170.0,60.0,42.5,Rectangle,1.1251564455569463,0.0,1.0,0.0
26.6,175.0,80.0,43.0,Rectangle,1.1670403587443947,0.0,1.0,0.0
59.5,174.0,70.0,41.5,Triangle,1.0982857142857143,0.0,0.0,1.0
27.8,173.0,68.0,39.5,Inverted Triangle,1.198055893074119,1.0,0.0,0.0
19.8,175.0,70.0,42.5,Inverted Triangle,1.1798029556650247,1.0,0.0,0.0
23.4,180.0,67.0,42.0,Inverted Triangle,1.273209549071618,1.0,0.0,0.0
53.0,168.0,85.0,42.0,Triangle,1.1027837259100643,0.0,0.0,1.0
22.0,189.0,70.0,44.0,Rectangle,1.16270337922403,0.0,1.0,0.0
48.0,173.0,80.0,42.0,Rectangle,1.1198208286674132,0.0,1.0,0.0
39.0,175.0,69.0,43.0,Inverted Triangle,1.1865482233502538,1.0,0.0,0.0
57.0,176.0,105.0,44.0,Triangle,1.0321100917431192,0.0,0.0,1.0
23.0,186.0,70.0,44.0,Inverted Triangle,1.2075471698113207,1.0,0.0,0.0
18.0,196.0,73.0,46.0,Triangle,1.079950799507995,0.0,0.0,1.0
60.4,169.0,77.0,42.0,Rectangle,1.1119023397761953,0.0,1.0,0.0
49.0,185.0,82.0,43.0,Triangle,1.0874316939890711,0.0,0.0,1.0
25.0,170.0,55.0,40.0,Triangle,1.1058981233243967,0.0,0.0,1.0
32.6,165.0,54.0,39.0,Inverted Triangle,1.2886297376093294,1.0,0.0,0.0
34.0,179.0,90.0,42.0,Rectangle,1.1117824773413898,0.0,1.0,0.0
28.0,180.0,75.0,43.0,Inverted Triangle,1.2151898734177216,1.0,0.0,0.0
39.0,182.0,98.0,42.0,Rectangle,1.1303482587064677,0.0,1.0,0.0
44.0,176.0,70.0,41.0,Triangle,1.0697412823397074,0.0,0.0,1.0
25.0,179.0,77.0,43.0,Rectangle,1.134684147794994,0.0,1.0,0.0
18.5,173.0,71.0,43.0,Inverted Triangle,1.3078880407124682,1.0,0.0,0.0
24.0,183.0,75.0,42.0,Triangle,1.0984162895927603,0.0,0.0,1.0
27.0,183.0,78.0,41.0,Triangle,1.100966702470462,0.0,0.0,1.0
46.8,169.0,74.0,41.0,Triangle,1.1013215859030836,0.0,0.0,1.0
26.2,175.0,70.0,42.5,Inverted Triangle,1.203955500618047,1.0,0.0,0.0
22.0,188.0,87.0,44.0,Rectangle,1.1437699680511182,0.0,1.0,0.0
20.4,181.0,63.0,43.0,Inverted Triangle,1.3102981029810299,1.0,0.0,0.0
58.0,178.0,95.0,42.0,Triangle,1.0520340586565753,0.0,0.0,1.0
20.0,190.0,90.0,45.0,Inverted Triangle,1.1737704918032787,1.0,0.0,0.0
36.4,168.0,66.0,40.0,Inverted Triangle,1.2048040455120101,1.0,0.0,0.0
27.1,173.0,71.0,42.5,Inverted Triangle,1.2207317073170731,1.0,0.0,0.0
28.4,180.0,85.0,43.0,Rectangle,1.131729667812142,0.0,1.0,0.0
52.0,180.0,85.0,41.0,Triangle,1.0768431983385254,0.0,0.0,1.0
62.0,180.0,90.0,41.0,Triangle,1.0067829457364341,0.0,0.0,1.0
20.2,170.0,68.0,43.5,Inverted Triangle,1.1925,1.0,0.0,0.0
23.7,186.0,75.0,43.5,Inverted Triangle,1.2958280657395702,1.0,0.0,0.0
38.9,174.0,80.0,42.0,Inverted Triangle,1.2942583732057416,1.0,0.0,0.0
25.0,178.0,81.0,43.0,Rectangle,1.1147186147186148,0.0,1.0,0.0
26.0,200.0,92.0,47.0,Inverted Triangle,1.2151898734177216,1.0,0.0,0.0
53.0,175.0,60.0,39.0,Inverted Triangle,1.1930232558139535,1.0,0.0,0.0
24.4,175.0,66.2,42.0,Rectangle,1.1268115942028984,0.0,1.0,0.0
26.3,173.0,65.0,43.5,Inverted Triangle,1.2653333333333334,1.0,0.0,0.0
46.0,184.0,85.0,44.0,Triangle,1.0212765957446808,0.0,0.0,1.0
29.0,175.0,80.0,41.0,Rectangle,1.116461366181411,0.0,1.0,0.0
55.0,172.0,94.0,42.0,Inverted Triangle,1.1876955161626694,1.0,0.0,0.0
30.2,183.0,76.0,42.0,Rectangle,1.129220023282887,0.0,1.0,0.0
44.4,172.0,78.0,42.5,Triangle,1.0888888888888888,0.0,0.0,1.0
35.0,173.0,69.0,40.0,Rectangle,1.1601382488479262,0.0,1.0,0.0
56.4,175.0,97.0,43.0,Triangle,1.0395010395010396,0.0,0.0,1.0
20.0,186.0,66.0,42.5,Rectangle,1.1415701415701416,0.0,1.0,0.0
43.0,175.0,79.0,44.0,Triangle,1.097452934662237,0.0,0.0,1.0
32.7,175.0,77.0,42.0,Inverted Triangle,1.3283018867924528,1.0,0.0,0.0
38.0,190.0,65.0,46.0,Rectangle,1.1243781094527363,0.0,1.0,0.0
24.0,172.0,59.0,42.0,Inverted Triangle,1.2222222222222223,1.0,0.0,0.0
45.0,185.0,104.0,43.5,Triangle,1.0620300751879699,0.0,0.0,1.0
50.0,175.0,75.0,43.0,Inverted Triangle,1.196642685851319,1.0,0.0,0.0
41.0,182.0,85.0,43.0,Inverted Triangle,1.2414201183431952,1.0,0.0,0.0
19.5,177.0,62.0,42.5,Inverted Triangle,1.3143631436314362,1.0,0.0,0.0
25.8,162.0,52.0,40.0,Inverted Triangle,1.2870229007633587,1.0,0.0,0.0
20.5,176.0,72.0,42.5,Rectangle,1.1618569636135507,0.0,1.0,0.0
37.3,174.0,79.0,43.0,Rectangle,1.1618497109826589,0.0,1.0,0.0
18.0,186.0,67.0,41.0,Inverted Triangle,1.2556894243641232,1.0,0.0,0.0
29.0,190.0,76.0,43.0,Rectangle,1.136255924170616,0.0,1.0,0.0
53.0,173.0,62.0,39.0,Inverted Triangle,1.199248120300752,1.0,0.0,0.0
42.0,185.0,91.0,44.0,Triangle,1.0496828752642706,0.0,0.0,1.0
38.0,176.0,63.0,41.0,Triangle,1.0835351089588379,0.0,0.0,1.0
19.0,183.0,65.0,43.0,Rectangle,1.141263940520446,0.0,1.0,0.0
21.0,181.0,89.0,42.0,Inverted Triangle,1.1875,1.0,0.0,0.0
