Subject Number,NL Subject,Acromial Ht Stand Lt (mm),Acromial Ht Stand Rt (mm),Acromion-Radiale Len Lt (mm),Acromion-Radiale Len Rt (mm),"Ankle Ht Lt (Malleolus, Lateral) (mm)","Ankle Ht Rt (Malleolus, Lateral) (mm)",Arm Inseam Lt (mm),Arm Inseam Rt (mm),Axilla Ht Lt (mm),Axilla Ht Rt (mm),Biacromial Brth (mm),Bicristale Brth (mm),Bigonial Brth (mm),Bispinous Brth (mm),Bitragion Brth (mm),Bitrochanteric Brth Stand (mm),Bustpoint Brth (mm),Cervicale Ht (mm),Chest Ht Stand (mm),Elbow Ht Stand Lt (mm),Elbow Ht Stand Rt (mm),Foot Brth Lt (mm),Foot Brth Rt (mm),Infraorbitale Ht Lt Stand (mm),Infraorbitale Ht Rt Stand (mm),Inter-pupillary Dst (mm),Interscye Dst Stand (mm),Knee Ht Stand Lt (mm),Knee Ht Stand Rt (mm),Malleolus Med Lt (mm),Malleolus Med Rt (mm),Neck Ht (mm),Radiale-Stylion Len Lt (mm),Radiale-Stylion Len Rt (mm),Sellion Supramenton (mm),Sleeve Outseam Len Lt (mm),Sleeve Outseam Len Rt (mm),Sphyrion Ht Lt (mm),Sphyrion Ht Rt (mm),Suprasternale Ht (mm),Trochanterion Ht Lt (mm),Trochanterion Ht Rt (mm),Waist Back (mm)
15885,5885,1411.03,1396.69,289.07,286.88,67.67,64.22,433.77,446.60,1320.69,1324.18,418.39,315.90,121.63,324.48,150.50,441.49,190.20,1473.92,1230.87,1139.86,1127.19,89.73,93.91,1573.83,1580.77,60.79,392.61,458.99,465.94,73.15,74.73,134.16,226.53,237.74,91.48,508.64,505.34,57.38,52.45,1404.15,831.08,869.06,430.46
15886,5886,1501.02,1489.95,318.27,335.80,67.87,68.52,455.61,459.04,1390.46,1379.87,437.90,395.76,147.93,317.28,154.89,388.76,270.29,1559.21,1336.50,1189.00,1171.59,97.12,102.40,1641.26,1634.34,64.38,476.90,509.63,513.07,82.25,91.19,143.73,268.62,260.59,99.07,580.60,602.19,57.98,63.97,1497.59,919.72,941.39,480.41
15887,5887,1387.32,1372.29,316.13,314.72,63.03,69.32,422.46,421.10,1270.75,1255.38,352.16,293.98,113.79,266.02,,362.65,223.35,1442.36,1195.08,1092.71,1085.52,88.91,86.51,1534.23,1534.22,72.04,365.21,483.03,493.42,64.37,74.68,90.10,226.45,240.01,87.21,541.14,554.20,38.68,46.71,1357.66,943.34,947.18,386.17
15888,5888,1481.09,1443.20,347.69,328.56,79.70,67.35,469.01,457.04,1372.68,1336.94,395.84,374.69,139.21,285.95,159.18,357.24,218.39,1510.45,1289.57,1148.28,1126.10,102.84,102.49,1632.46,1628.99,78.08,421.26,485.03,491.97,86.62,85.96,88.80,246.98,261.50,94.73,599.49,577.62,62.34,68.64,1448.89,949.52,939.71,460.73
15889,5889,1428.79,1405.04,323.31,316.75,65.51,68.98,416.82,432.59,1291.98,1283.02,398.10,324.72,132.57,248.59,155.26,360.43,249.43,1476.62,1254.27,1141.28,1113.42,98.63,93.40,1597.29,1597.20,63.72,422.74,461.72,458.26,81.48,85.15,90.16,240.99,254.47,97.40,560.61,562.65,67.55,67.83,1399.80,882.41,874.33,468.40
15890,5890,1414.28,1409.41,305.29,314.13,72.91,74.88,432.88,431.72,1308.86,1300.92,391.37,282.72,113.31,243.42,152.57,354.27,194.47,1488.61,1257.46,1118.22,1111.91,92.99,90.21,1603.88,1600.41,70.22,380.33,484.04,480.62,83.94,90.00,104.81,227.60,242.98,104.84,529.22,538.81,52.69,63.09,1403.03,901.33,910.83,416.00
15891,5891,1660.84,1649.45,380.84,392.14,87.61,80.19,533.39,551.50,1530.46,1529.31,431.08,351.29,127.90,256.10,153.04,389.97,261.55,1688.72,1466.63,1284.72,1280.89,107.25,108.45,1869.69,1865.20,55.86,413.82,559.47,562.88,99.38,86.81,169.99,283.13,293.53,118.93,659.11,670.64,82.04,68.57,1639.86,1057.15,1066.30,504.34
15892,5892,1463.25,1484.67,309.55,321.24,61.18,71.94,478.96,480.13,1364.46,1392.85,412.99,311.50,119.74,257.90,153.35,348.76,203.30,1515.95,1292.18,1164.44,1184.23,89.50,94.17,1652.24,1645.89,75.04,383.56,507.97,518.33,88.39,81.88,97.05,270.24,270.55,111.87,562.45,575.85,67.49,64.56,1434.07,931.65,929.68,443.04
15893,5893,1287.41,1289.64,285.23,284.95,67.35,61.83,417.02,429.40,1192.58,1202.02,413.47,315.44,110.33,222.04,151.05,355.30,235.69,1371.16,1140.97,1000.78,1018.20,92.80,94.58,1504.63,1504.77,73.34,396.20,439.32,432.40,77.69,81.28,78.89,235.18,241.15,108.94,516.91,519.29,62.60,57.03,1303.75,805.08,822.56,419.46
15894,5894,1364.57,1351.13,310.07,316.29,65.28,68.25,444.26,460.22,1256.03,1256.92,387.79,304.91,104.07,230.00,154.63,355.03,202.62,1421.48,1214.22,1079.41,1055.00,92.45,96.90,1529.79,1526.33,66.15,414.97,458.45,455.00,80.85,82.99,93.97,245.60,248.43,97.64,560.55,571.35,47.54,55.27,1356.67,890.67,891.07,415.87
15895,5895,1523.11,1518.49,337.34,353.88,77.78,66.72,482.64,493.31,1403.97,1403.91,378.95,364.32,124.06,265.85,145.58,370.44,246.36,1560.20,1335.59,1190.62,1185.31,99.73,101.61,1673.03,1674.42,66.80,442.88,507.14,517.49,79.16,84.06,123.21,273.01,269.43,113.41,608.14,623.98,52.92,58.31,1515.15,930.30,938.30,479.13
15897,5897,1495.27,1482.66,361.05,368.72,80.87,72.66,490.41,500.59,1356.74,1356.15,395.08,315.04,112.97,261.12,148.78,357.41,198.52,1567.86,1308.23,1137.05,1138.99,93.90,92.35,1678.12,1675.25,76.22,376.27,535.62,525.20,88.84,84.49,109.99,283.60,291.31,100.58,629.99,647.04,71.53,67.72,1481.36,941.81,937.34,433.25
15898,5898,1359.34,1377.15,335.42,333.80,77.36,70.79,401.15,408.69,1203.82,1246.97,401.95,367.99,127.23,304.87,156.89,432.16,256.06,1437.44,1180.18,1025.58,1055.50,93.74,103.54,1526.98,1526.98,76.01,397.73,481.38,474.45,93.60,86.09,101.11,242.21,245.86,82.12,563.27,556.74,72.78,61.84,1357.28,873.93,864.11,374.72
15903,5903,1594.73,1591.33,347.44,355.03,73.12,74.45,505.59,501.32,1484.11,1474.77,390.28,312.19,116.23,285.08,149.20,397.28,198.14,1665.33,1459.98,1264.93,1278.12,92.81,98.44,1792.55,1789.09,67.11,386.14,536.01,536.01,90.45,81.95,128.19,279.63,277.16,104.19,619.63,625.89,62.64,57.70,1587.22,1046.43,1039.86,430.79
15905,5905,1341.03,1333.06,288.45,292.60,64.18,65.49,422.89,426.62,1247.57,1260.84,376.09,323.93,113.67,283.28,142.38,401.28,229.83,1386.83,1133.58,1075.36,1064.22,90.78,97.61,1497.34,1500.81,62.12,399.02,430.73,434.28,74.46,68.84,104.60,217.02,220.48,97.71,510.08,516.24,50.11,51.52,1325.89,831.69,826.14,377.71
15906,5906,1536.00,1527.21,342.00,353.34,73.63,68.50,516.95,513.82,1439.97,1430.68,425.84,348.12,129.62,263.81,156.02,382.80,262.37,1586.88,1346.96,1197.25,1185.69,90.63,99.49,1724.41,1721.17,67.29,428.34,520.02,530.40,80.63,90.21,104.02,272.17,269.52,95.16,605.37,610.74,59.84,69.43,1523.57,915.70,903.34,487.46
