Subject Number,NL Subject,Gender,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth (Chest Circumference at Scye) (mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg)
16701,6701,Female,,236.00,190.00,525.00,800.00,610.00,335.00,354.00,125.00,811.00,626.00,645.00,776.00,890.00,,790.00,102.00,253.00,180.00,190.00,136.00,,186.00,346.00,916.00,904.00,578.00,427.00,378.00,915.00,1814.00,8.00,507.00,520.00,777.00,778.00,775.00,778.00,8.40,579.00,1650.00,750.00,408.00,1125.00,56.00
16705,6705,Female,616.00,232.00,214.00,525.00,778.00,564.00,311.00,353.00,130.00,882.00,735.00,569.00,862.00,769.00,287.00,813.00,109.00,243.00,186.00,180.00,140.00,542.00,183.00,355.00,930.00,765.00,499.00,407.00,408.00,936.00,1691.00,10.60,515.00,537.00,728.00,724.00,723.00,737.00,11.20,650.00,1579.00,683.00,392.00,1023.00,55.00
16706,6706,Male,683.00,282.00,232.00,615.00,914.00,682.00,383.00,504.00,150.00,1129.00,,658.00,1151.00,853.00,292.00,879.00,122.00,280.00,227.00,206.00,164.00,602.00,207.00,410.00,1134.00,950.00,589.00,559.00,521.00,995.00,1881.00,35.00,645.00,643.00,860.67,866.00,864.00,852.00,16.00,835.00,1944.00,1066.00,485.00,1136.00,107.00
16707,6707,Male,661.00,273.00,227.00,573.00,865.00,638.00,346.00,399.00,144.00,905.00,,619.00,950.00,805.00,295.00,859.00,115.00,269.00,209.00,198.00,154.00,579.00,204.00,371.00,1000.00,878.00,550.00,471.00,502.00,976.00,1815.00,9.40,590.00,579.00,753.00,750.00,753.00,756.00,7.00,646.00,1746.00,784.00,414.00,1057.00,71.00
16708,6708,Female,646.00,259.00,204.00,562.00,826.00,622.00,358.00,455.00,134.00,999.00,865.00,629.00,994.00,833.00,267.00,819.00,113.00,246.00,190.00,185.00,145.00,559.00,195.00,455.00,1136.00,850.00,515.00,439.00,475.00,949.00,1776.00,22.00,652.00,640.00,780.67,760.00,781.00,801.00,23.00,750.00,1666.00,776.00,368.00,1090.00,78.00
16709,6709,Male,650.00,276.00,225.00,574.00,860.00,635.00,349.00,452.00,145.00,1102.00,,563.00,1063.00,830.00,265.00,859.00,124.00,275.00,221.00,207.00,149.00,565.00,202.00,420.00,1103.00,870.00,,503.00,476.00,978.00,1846.00,24.40,631.00,658.00,822.67,836.00,819.00,813.00,9.00,639.00,1825.00,1057.00,515.00,1038.00,98.00
16712,6712,Male,607.00,284.00,238.00,615.00,910.00,672.00,377.00,434.00,137.00,979.00,,655.00,1003.00,892.00,210.00,808.00,118.00,283.00,226.00,205.00,151.00,569.00,202.00,373.00,1007.00,981.00,595.00,517.00,471.00,941.00,1849.00,8.00,592.00,589.00,842.67,843.00,843.00,842.00,7.20,691.00,1708.00,819.00,412.00,1141.00,78.00
16714,6714,Male,600.00,252.00,211.00,595.00,897.00,686.00,384.00,431.00,134.00,945.00,,682.00,974.00,914.00,195.00,817.00,,281.00,213.00,197.00,146.00,560.00,200.00,351.00,964.00,961.00,565.00,494.00,461.00,938.00,1877.00,7.60,532.00,542.00,830.67,824.00,831.00,837.00,3.00,657.00,1657.00,790.00,405.00,1124.00,70.50
16715,6715,Male,626.00,257.00,204.00,571.00,853.00,649.00,367.00,456.00,146.00,973.00,,622.00,1005.00,838.00,245.00,793.00,111.00,282.00,211.00,207.00,152.00,580.00,198.00,390.00,1046.00,873.00,547.00,475.00,480.00,928.00,1780.00,12.00,602.00,604.00,807.00,815.00,799.00,807.00,7.20,682.00,1734.00,879.00,417.00,1060.00,80.00
16717,6717,Male,618.00,277.00,225.00,590.00,841.00,616.00,365.00,412.00,144.00,966.00,,625.00,956.00,814.00,249.00,844.00,121.00,268.00,215.00,199.00,156.00,555.00,188.00,373.00,1000.00,940.00,554.00,513.00,439.00,941.00,1800.00,19.30,505.00,514.00,807.67,785.00,813.00,825.00,4.40,747.00,1734.00,927.00,398.00,1102.00,75.00
16718,6718,Male,684.00,287.00,205.00,598.00,887.00,682.00,393.00,513.00,144.00,1104.00,,643.00,1101.00,833.00,286.00,898.00,116.00,277.00,247.00,211.00,156.00,596.00,206.00,418.00,1134.00,855.00,559.00,530.00,522.00,1012.00,1892.00,30.20,661.00,649.00,857.33,845.00,863.00,864.00,15.20,826.00,1941.00,991.00,456.00,1121.00,99.50
16719,6719,Female,622.00,272.00,185.00,512.00,776.00,591.00,327.00,395.00,135.00,968.00,831.00,617.00,950.00,850.00,275.00,821.00,116.00,264.00,204.00,203.00,140.00,554.00,193.00,421.00,1105.00,872.00,532.00,455.00,461.00,935.00,1757.00,12.40,645.00,650.00,752.67,748.00,756.00,754.00,19.40,671.00,1660.00,812.00,379.00,1039.00,76.50
16720,6720,Male,616.00,246.00,214.00,571.00,848.00,634.00,357.00,456.00,146.00,972.00,,643.00,1015.00,847.00,244.00,832.00,113.00,262.00,217.00,202.00,159.00,569.00,198.00,382.00,1040.00,880.00,541.00,483.00,494.00,958.00,1819.00,10.80,630.00,625.00,814.00,817.00,811.00,814.00,8.20,686.00,1719.00,808.00,428.00,1063.00,79.50
16721,6721,Female,590.00,226.00,197.00,535.00,810.00,613.00,338.00,348.00,131.00,847.00,753.00,622.00,849.00,825.00,233.00,800.00,119.00,242.00,182.00,180.00,140.00,561.00,193.00,370.00,938.00,850.00,539.00,414.00,406.00,907.00,1745.00,6.40,539.00,534.00,773.67,778.00,776.00,767.00,8.60,686.00,1564.00,648.00,351.00,1094.00,54.30
16722,6722,Male,613.00,249.00,215.00,570.00,864.00,649.00,355.00,437.00,139.00,921.00,,646.00,957.00,864.00,237.00,840.00,125.00,257.00,212.00,211.00,144.00,571.00,208.00,377.00,1017.00,910.00,528.00,438.00,475.00,964.00,1833.00,8.50,592.00,586.00,852.67,851.00,858.00,849.00,8.40,638.00,1692.00,817.00,442.00,1066.00,73.50
16723,6723,Female,590.00,245.00,203.00,510.00,765.00,562.00,307.00,360.00,127.00,874.00,758.00,583.00,861.00,798.00,250.00,784.00,111.00,235.00,178.00,182.00,137.00,550.00,196.00,411.00,1044.00,818.00,518.00,420.00,410.00,904.00,1679.00,9.20,602.00,600.00,754.33,759.00,754.00,750.00,15.40,634.00,1546.00,738.00,376.00,1020.00,62.00
16724,6724,Female,584.00,230.00,198.00,520.00,762.00,564.00,322.00,374.00,129.00,914.00,770.00,572.00,883.00,734.00,244.00,760.00,112.00,223.00,178.00,162.00,143.00,538.00,182.00,391.00,1025.00,752.00,485.00,431.00,423.00,874.00,1611.00,11.00,591.00,589.00,688.33,688.00,684.00,693.00,14.20,652.00,1544.00,727.00,360.00,974.00,59.80
16725,6725,Female,596.00,256.00,205.00,522.00,779.00,574.00,317.00,399.00,138.00,998.00,817.00,591.00,925.00,800.00,255.00,776.00,108.00,253.00,191.00,192.00,154.00,572.00,195.00,388.00,1000.00,829.00,523.00,423.00,457.00,881.00,1676.00,15.70,576.00,586.00,744.00,743.00,745.00,744.00,18.30,588.00,1546.00,843.00,402.00,1010.00,65.10
16729,6729,Male,673.00,287.00,256.00,620.00,693.00,437.00,364.00,447.00,147.00,1069.00,,617.00,1069.00,819.00,310.00,841.00,128.00,259.00,214.00,196.00,156.00,618.00,215.00,381.00,1045.00,895.00,577.00,522.00,511.00,974.00,1852.00,33.10,593.00,575.00,802.33,793.00,815.00,799.00,17.10,675.00,1846.00,912.00,500.00,1058.00,90.00
16730,6730,Male,616.00,243.00,220.00,558.00,830.00,610.00,338.00,394.00,143.00,904.00,,603.00,920.00,822.00,261.00,777.00,117.00,258.00,209.00,196.00,165.00,571.00,192.00,357.00,943.00,882.00,532.00,460.00,420.00,896.00,1726.00,9.20,554.00,557.00,761.33,760.00,760.00,764.00,4.20,652.00,1579.00,766.00,335.00,1056.00,67.50
16731,6731,Male,644.00,270.00,216.00,560.00,833.00,617.00,344.00,451.00,140.00,1048.00,,648.00,1074.00,809.00,277.00,853.00,131.00,270.00,200.00,201.00,148.00,555.00,197.00,391.00,1070.00,897.00,564.00,452.00,497.00,986.00,1872.00,12.90,615.00,624.00,809.67,803.00,820.00,806.00,11.50,677.00,1791.00,939.00,463.00,1075.00,83.50
16732,6732,Male,572.00,265.00,230.00,565.00,827.00,597.00,335.00,383.00,140.00,920.00,,588.00,907.00,777.00,220.00,804.00,138.00,251.00,202.00,199.00,148.00,593.00,225.00,349.00,956.00,840.00,535.00,452.00,453.00,890.00,1714.00,12.30,534.00,533.00,786.67,785.00,783.00,792.00,9.20,624.00,1668.00,834.00,453.00,980.00,68.00
