Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle,Weight (kg)
50,187,78,44,Rectangle,1.137168142,0,1,0,82.5
18.2,179,69,42,Rectangle,1.167073171,0,1,0,69
43.8,173,77,42,Rectangle,1.128668172,0,1,0,77.2
20,176,68,42,Inverted Triangle,1.205804749,1,0,0,68
21.3,173,65,40,Inverted Triangle,1.187421384,1,0,0,67.2
29,183,71,42,Rectangle,1.140091116,0,1,0,67.9
35.6,173,63,40,Rectangle,1.137844612,0,1,0,62.6
28.8,171,59,39,Triangle,1.097378277,0,0,1,56.9
30,182,85,42.5,Rectangle,1.12605042,0,1,0,95.5
39,186,75,43,Rectangle,1.134857143,0,1,0,77.9
20.3,179,72,43.5,Inverted Triangle,1.202007528,1,0,0,72.9
38,176,63,41,Triangle,1.083535109,0,0,1,64.4
25.9,174,67,42.5,Rectangle,1.156626506,0,1,0,69.2
18.8,177,62,43.5,Inverted Triangle,1.255172414,1,0,0,60.4
36.6,169,63,39,Inverted Triangle,1.218346253,1,0,0,61.2
28,168,61,40,Inverted Triangle,1.229619565,1,0,0,58.1
20.3,170,66,41,Rectangle,1.1352657,0,1,0,63.9
18.5,178,67,42,Inverted Triangle,1.177631579,1,0,0,67.8
47,193,90,46,Triangle,1.023373984,0,0,1,93
51,186,92.5,44,Triangle,1.016330451,0,0,1,92.8
42,185,91,44,Triangle,1.049682875,0,0,1,90.6
20,175,60,41,Rectangle,1.161953728,0,1,0,63.6
38.1,175,80,40.5,Triangle,1.038541667,0,0,1,81.5
27,188,83,43,Rectangle,1.133105802,0,1,0,82
31.9,171,71.5,40.5,Rectangle,1.160240964,0,1,0,71.3
19,183,84,44,Rectangle,1.117127072,0,1,0,85.4
31,180,84,43,Inverted Triangle,1.176719577,1,0,0,86.4
20,180,70,43,Rectangle,1.14764268,0,1,0,69.4
25.8,162,52,40,Inverted Triangle,1.287022901,1,0,0,53.2
19.1,175,63,41.5,Rectangle,1.132903226,0,1,0,65.4
23,191,92,43,Triangle,1.064550265,0,0,1,92.8
21,181,89,42,Inverted Triangle,1.1875,1,0,0,88
59.5,170,69.5,42,Rectangle,1.168846611,0,1,0,69.7
20,188,80,44,Inverted Triangle,1.178403756,1,0,0,82
34,205,100,47,Inverted Triangle,1.280373832,1,0,0,93
23.9,177,65,43,Inverted Triangle,1.230769231,1,0,0,64.1
28.3,170,62,41,Rectangle,1.139705882,0,1,0,59.8
22.4,173,60,42,Rectangle,1.156735751,0,1,0,59.5
23,177,58,41,Inverted Triangle,1.206578947,1,0,0,61.5
19,187,72,47,Inverted Triangle,1.200782269,1,0,0,75
60.4,169,77,42,Rectangle,1.11190234,0,1,0,79.3
41,172,71,42,Inverted Triangle,1.234146341,1,0,0,70.5
20.9,185,85,43.5,Rectangle,1.113561191,0,1,0,87.4
29,195,116,46,Rectangle,1.122350674,0,1,0,112
18,190,75,44.5,Rectangle,1.166666667,0,1,0,74.5
40,199,117,45,Triangle,1.086592179,0,0,1,116.8
52,192,91,45,Triangle,1.104100946,0,0,1,91.6
55,182,73,42,Inverted Triangle,1.234474018,1,0,0,71.5
33,179,77,42,Triangle,1.104377104,0,0,1,77.9
27.9,170,59,42,Inverted Triangle,1.305916306,1,0,0,54.3
21,183,74,43,Rectangle,1.133168927,0,1,0,72.2
56.4,175,97,43,Triangle,1.03950104,0,0,1,93.6
57,183,96,44,Triangle,1.097922849,0,0,1,96.9
23,174,69,43,Inverted Triangle,1.201044386,1,0,0,67.5
32,186,75,45,Triangle,1.100238663,0,0,1,77.3
56.7,178,82,42.5,Rectangle,1.114583333,0,1,0,80.6
24.7,172,69,41,Rectangle,1.153846154,0,1,0,70
33,184,134,45,Triangle,1.054918033,0,0,1,143.4
26.3,178,72,43.5,Rectangle,1.165847666,0,1,0,72
32.3,173,79,41,Inverted Triangle,1.18438914,1,0,0,78.7
23,192,105,45,Triangle,1.005617978,0,0,1,109.9
43.1,169,72,40,Inverted Triangle,1.213603819,1,0,0,73.8
46.2,175,68,42.5,Inverted Triangle,1.176761434,1,0,0,68.2
19,196,85,46,Triangle,0.991836735,0,0,1,99.4
39,168,67,42,Triangle,1.021881838,0,0,1,68
25.4,170,69,41,Inverted Triangle,1.22745098,1,0,0,67.3
41,175,78,41,Triangle,1.084639498,0,0,1,86.4
33,180,78,42,Triangle,1.103057758,0,0,1,79.4
21,178,68,42,Rectangle,1.161407767,0,1,0,73
32.1,180,91,43,Triangle,1.076374745,0,0,1,94.3
25,186,77,44,Inverted Triangle,1.213157895,1,0,0,75.1
44.1,175,70,42,Rectangle,1.142857143,0,1,0,60.6
35.1,166,61,40,Inverted Triangle,1.2734375,1,0,0,60.2
32.4,172,73,41,Rectangle,1.165060241,0,1,0,74.8
27,200,100,46,Inverted Triangle,1.209694415,1,0,0,96
47.8,169,68,41,Inverted Triangle,1.242424242,1,0,0,69.7
33.7,174,74,42.5,Inverted Triangle,1.210588235,1,0,0,74.4
25.3,173,67,42,Inverted Triangle,1.22007722,1,0,0,65.8
18.4,175,70,42,Inverted Triangle,1.219543147,1,0,0,65.5
18.2,182,75,42,Rectangle,1.168164313,0,1,0,66.1
25.5,180,85,43,Rectangle,1.166477916,0,1,0,85.1
19.4,170,65,40.5,Inverted Triangle,1.17408377,1,0,0,64.7
46,183,86,43,Triangle,1.043521266,0,0,1,87.2
25.8,178,74,41,Rectangle,1.143026005,0,1,0,75.2
44,195,110,47,Triangle,1.038669065,0,0,1,107
32.3,172,71,41,Inverted Triangle,1.19047619,1,0,0,72
32,191,88,43,Rectangle,1.115541922,0,1,0,89.9
32,184,100,45,Inverted Triangle,1.312572088,1,0,0,98.3
18,189,78,46,Rectangle,1.155339806,0,1,0,77.5
46,173,75,41,Triangle,1.100750268,0,0,1,78.5
18,186,67,41,Inverted Triangle,1.255689424,1,0,0,69.3
24,185,96,43,Triangle,1.062181448,0,0,1,95.5
20.1,175,65,42.5,Rectangle,1.165217391,0,1,0,63.9
42.2,172,78,42.5,Triangle,1.100546448,0,0,1,74.3
30,176,83,43,Triangle,1.076586433,0,0,1,84.9
44.8,173,70,41,Rectangle,1.158403869,0,1,0,75.4
20.4,181,63,43,Inverted Triangle,1.310298103,1,0,0,63.6
19,183,75,42,Inverted Triangle,1.171604938,1,0,0,76.9
26.2,175,70,42.5,Inverted Triangle,1.203955501,1,0,0,70.1
42,204,125,48,Rectangle,1.123966942,0,1,0,127.5
43,191,98,46,Rectangle,1.113989637,0,1,0,99.3
36,174,67,42,Rectangle,1.134939759,0,1,0,70.1
27.1,172,66,42,Rectangle,1.166461159,0,1,0,65
35.3,172,77,41,Triangle,1.099542334,0,0,1,76.3
18.8,180,60,42,Rectangle,1.164921466,0,1,0,59.1
21,193,78,43,Triangle,1.103291714,0,0,1,80.1
19,180,62.5,43,Inverted Triangle,1.311522048,1,0,0,61.8
18.4,170,69,42.5,Inverted Triangle,1.306122449,1,0,0,66.9
57.7,164,89,41,Triangle,0.958115183,0,0,1,90.1
32,176,81,43,Rectangle,1.167259786,0,1,0,79.8
61,177,76,43,Triangle,1.077812829,0,0,1,79.1
19.3,168,75,43,Triangle,1.100342075,0,0,1,76.6
46.8,169,74,41,Triangle,1.101321586,0,0,1,75.4
30.6,173,70,41,Inverted Triangle,1.196581197,1,0,0,71.5
22.5,175,65,43.5,Inverted Triangle,1.227390181,1,0,0,63.4
28.1,181.5,73,43.5,Triangle,1.104242424,0,0,1,71.2
22,188,87,44,Rectangle,1.143769968,0,1,0,83.5
38,193,75,44,Inverted Triangle,1.234375,1,0,0,76.6
22,197.5,95,46,Triangle,1.006986028,0,0,1,101.7
35.6,170,69,42,Inverted Triangle,1.236907731,1,0,0,70.5
55,178,92,43,Triangle,0.997118156,0,0,1,86.6
43,182,84,44,Inverted Triangle,1.219428571,1,0,0,84
21,187,75,43,Rectangle,1.117647059,0,1,0,71.6
38,186,70,43,Inverted Triangle,1.206060606,1,0,0,74
60.3,150,59,38,Rectangle,1.111650485,0,1,0,59.1
29,180,72,42,Rectangle,1.157894737,0,1,0,70
19.5,177,62,42.5,Inverted Triangle,1.314363144,1,0,0,62.9
29.9,165,69,40.5,Inverted Triangle,1.186127168,1,0,0,71.9
19.6,184,78,42,Rectangle,1.133578431,0,1,0,73.8
50,177,99,45,Rectangle,1.135728543,0,1,0,99.5
19,180,65,44,Inverted Triangle,1.213315217,1,0,0,61.8
21.4,170,67,41,Inverted Triangle,1.280312907,1,0,0,67.3
31,188,72,44,Inverted Triangle,1.232911392,1,0,0,70.5
40,170,65,42.5,Inverted Triangle,1.2125,1,0,0,66.5
20,177,90,43.5,Rectangle,1.142411642,0,1,0,97.6
53,168,73,40,Inverted Triangle,1.182522124,1,0,0,75.4
51,188,86,42,Triangle,1.055016181,0,0,1,82.2
28,180,75,43,Inverted Triangle,1.215189873,1,0,0,71.5
27,202,90,45,Triangle,1.099137931,0,0,1,90.5
24,181,74,43,Triangle,1.109004739,0,0,1,72.3
47,160,74,39,Triangle,1.064935065,0,0,1,73.4
26.2,169,58,39,Inverted Triangle,1.216774194,1,0,0,57.1
39,181,81,42,Inverted Triangle,1.293833132,1,0,0,78.2
24,172,59,42,Inverted Triangle,1.222222222,1,0,0,60.4
53.7,177,87,43,Rectangle,1.112840467,0,1,0,92.3
50,178.5,87,44,Rectangle,1.138751239,0,1,0,92.6
19,192,80,44,Inverted Triangle,1.176336746,1,0,0,81
41,178,79,43,Inverted Triangle,1.198412698,1,0,0,79.8
