"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
900.0,1090.0,481.0,1034.0,795.0,615.0,510.0,975.0,640.0,1110.0,68.0,81.0
937.0,1077.0,496.0,1071.0,768.0,592.0,489.0,1040.0,601.0,1080.0,65.68,85.91
798.0,879.0,438.0,921.0,816.0,518.0,422.0,989.0,598.0,908.0,82.0,90.0
1066.0,1129.0,559.0,1134.0,853.0,645.0,521.0,1136.0,682.0,1151.0,82.32,103.16
856.0,978.0,440.0,1015.0,940.0,577.0,472.0,1134.0,656.0,1022.0,66.65,77.05
732.0,887.0,436.0,912.0,871.0,509.0,454.0,1066.0,605.0,946.0,76.94,81.64
883.0,1054.0,493.0,985.0,796.0,540.0,479.0,1028.0,644.0,1061.0,80.0,90.0
810.0,866.0,485.0,980.0,730.0,602.0,431.0,922.0,596.0,885.0,73.0,85.0
902.0,984.0,511.0,1024.0,784.0,599.0,460.0,1005.0,614.0,1046.0,81.0,89.0
957.0,1072.0,486.0,1073.0,764.0,622.0,462.0,1029.0,620.0,1054.0,72.0,90.0
896.0,1011.0,502.0,1057.0,886.0,609.0,493.0,1143.0,699.0,1039.0,64.04,96.8
825.0,941.0,452.0,975.0,734.0,570.0,471.0,996.0,603.0,970.0,66.0,82.0
838.0,983.0,470.0,962.0,743.0,582.0,474.0,984.0,598.0,1017.0,67.0,79.0
857.0,902.0,482.0,969.0,888.0,540.0,449.0,1147.0,643.0,921.0,74.6,97.94
876.0,952.0,488.0,979.0,782.0,603.0,464.0,970.0,628.0,983.0,74.0,80.0
735.0,901.0,452.0,912.0,735.0,557.0,444.0,933.0,608.0,907.0,60.0,73.0
750.0,856.0,456.0,931.0,798.0,512.0,395.0,977.0,598.0,883.0,59.0,75.0
784.0,919.0,479.0,987.0,757.0,567.0,453.0,999.0,642.0,957.0,64.0,82.0
860.0,938.0,449.0,1045.0,848.0,606.0,457.0,1032.0,635.0,967.0,70.22,93.84
1089.0,1236.0,509.0,1190.0,913.0,680.0,560.0,1172.0,684.0,1224.0,83.78,109.1
761.0,870.0,453.0,953.0,756.0,537.0,443.0,960.0,611.0,904.0,67.61,92.59
850.0,929.0,449.0,963.0,816.0,556.0,445.0,1004.0,637.0,961.0,68.64,88.0
811.0,922.0,464.0,942.0,753.0,532.0,439.0,944.0,618.0,946.0,76.0,86.0
845.0,950.0,490.0,976.0,760.0,587.0,462.0,1018.0,606.0,975.0,69.0,85.0
1263.0,1239.0,622.0,1184.0,931.0,758.0,519.0,1187.0,728.0,1209.0,92.77,107.67
754.0,797.0,436.0,811.0,769.0,449.0,378.0,935.0,584.0,794.0,63.0,70.0
845.0,926.0,445.0,955.0,819.0,575.0,430.0,1077.0,680.0,935.0,66.0,81.0
872.0,1049.0,499.0,986.0,818.0,563.0,464.0,1026.0,646.0,1089.0,62.0,74.0
1088.0,1165.0,600.0,1100.0,814.0,634.0,482.0,1034.0,623.0,1105.0,57.17,87.24
858.0,1004.0,514.0,1037.0,818.0,609.0,469.0,979.0,628.0,1020.0,60.0,78.0
882.0,993.0,530.0,988.0,907.0,571.0,498.0,1141.0,699.0,1034.0,71.43,87.14
869.0,1007.0,525.0,1047.0,1001.0,607.0,490.0,1238.0,724.0,1056.0,73.81,94.69
708.0,804.0,437.0,839.0,736.0,477.0,398.0,976.0,582.0,859.0,66.0,75.0
774.0,915.0,458.0,935.0,772.0,552.0,459.0,989.0,608.0,943.0,64.0,73.0
795.0,1000.0,470.0,1000.0,784.0,594.0,480.0,1039.0,620.0,1056.0,79.0,87.0
921.0,1011.0,432.0,985.0,703.0,505.0,422.0,910.0,554.0,979.0,66.58,81.76
877.0,947.0,480.0,1018.0,916.0,581.0,463.0,1101.0,701.0,968.0,67.68,93.02
774.0,898.0,482.0,952.0,798.0,529.0,412.0,999.0,621.0,894.0,68.0,84.0
951.0,1032.0,465.0,953.0,796.0,553.0,440.0,1025.0,612.0,1025.0,58.03,78.91
861.0,950.0,446.0,968.0,782.0,562.0,447.0,1005.0,632.0,982.0,74.0,84.0
876.0,995.0,489.0,1013.0,879.0,581.0,492.0,1042.0,629.0,1017.0,77.25,98.79
920.0,1042.0,486.0,955.0,812.0,572.0,457.0,1062.0,635.0,1073.0,66.44,89.2
755.0,843.0,465.0,891.0,780.0,506.0,447.0,990.0,623.0,874.0,66.0,78.0
923.0,1071.0,503.0,1016.0,894.0,588.0,507.0,1120.0,689.0,1068.0,73.99,87.82
883.0,915.0,504.0,1010.0,853.0,579.0,470.0,1036.0,652.0,937.0,69.14,99.28
1060.0,1173.0,494.0,1142.0,848.0,653.0,517.0,1069.0,669.0,1146.0,68.08,92.58
791.0,933.0,450.0,870.0,852.0,493.0,430.0,1045.0,661.0,937.0,68.0,83.0
835.0,949.0,480.0,956.0,818.0,551.0,461.0,1037.0,637.0,957.0,70.01,92.2
891.0,981.0,452.0,1041.0,850.0,617.0,469.0,1057.0,615.0,984.0,72.93,86.81
832.0,996.0,482.0,954.0,944.0,556.0,494.0,1146.0,696.0,1027.0,70.42,98.86
734.0,854.0,458.0,897.0,755.0,526.0,414.0,967.0,588.0,889.0,70.0,79.0
805.0,850.0,496.0,870.0,859.0,507.0,462.0,1029.0,656.0,890.0,70.0,81.0
960.0,994.0,470.0,990.0,772.0,580.0,433.0,1000.0,612.0,956.0,70.0,78.0
950.0,994.0,485.0,980.0,783.0,502.0,456.0,989.0,655.0,990.0,71.0,86.0
