"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
705.0,837.0,695.0,422.0,895.0,745.0,518.0,382.0,936.0,582.0,785.0,52.0,62.0,76.0
749.0,892.0,734.0,435.0,970.0,721.0,590.0,417.0,911.0,552.0,868.0,57.0,62.0,72.0
662.0,787.0,679.0,424.0,944.0,714.0,550.0,402.0,941.0,560.0,798.0,47.7,61.0,68.0
921.0,918.0,849.0,470.0,1093.0,891.0,621.0,434.0,1096.0,629.0,905.0,74.9,65.87,80.2
807.0,978.0,849.0,409.0,996.0,859.0,555.0,422.0,1070.0,619.0,923.0,67.7,71.52,80.39
955.0,1113.0,963.0,435.0,1124.0,732.0,695.0,461.0,1000.0,586.0,1058.0,85.5,64.31,72.05
717.0,895.0,721.0,452.0,986.0,737.0,570.0,394.0,934.0,565.0,816.0,56.0,55.0,67.0
762.0,920.0,775.0,430.0,1099.0,788.0,671.0,436.0,1012.0,559.0,895.0,68.6,73.54,75.57
794.0,940.0,795.0,405.0,945.0,668.0,555.0,400.0,884.0,543.0,880.0,55.4,54.0,62.0
854.0,915.0,712.0,452.0,1035.0,733.0,590.0,405.0,904.0,573.0,855.0,62.0,64.0,79.0
703.0,900.0,764.0,429.0,994.0,777.0,571.0,430.0,1033.0,585.0,889.0,62.1,63.62,77.85
773.0,1008.0,880.0,412.0,1051.0,826.0,589.0,407.0,1065.0,609.0,941.0,69.5,62.85,75.69
824.0,848.0,739.0,416.0,990.0,778.0,554.0,409.0,941.0,593.0,822.0,58.3,62.0,74.0
710.0,810.0,711.0,375.0,865.0,711.0,516.0,354.0,934.0,505.0,772.0,48.3,51.26,65.07
670.0,810.0,680.0,405.0,952.0,715.0,556.0,402.0,954.0,557.0,812.0,53.1,64.0,69.0
890.0,1073.0,934.0,410.0,1066.0,834.0,609.0,399.0,1071.0,615.0,954.0,77.0,54.76,62.16
938.0,1130.0,918.0,466.0,1132.0,748.0,639.0,452.0,1012.0,561.0,1012.0,87.7,80.21,85.54
1115.0,1274.0,1019.0,443.0,1120.0,792.0,668.0,456.0,1010.0,567.0,1115.0,96.7,67.16,64.27
830.0,886.0,746.0,426.0,1039.0,869.0,600.0,417.0,1077.0,605.0,859.0,66.6,67.94,84.89
769.0,942.0,777.0,440.0,1124.0,826.0,602.0,454.0,1104.0,617.0,910.0,72.0,71.47,83.46
883.0,1057.0,886.0,435.0,1166.0,737.0,702.0,417.0,1022.0,558.0,983.0,83.3,58.13,70.33
802.0,961.0,815.0,444.0,1101.0,876.0,620.0,467.0,1139.0,642.0,927.0,71.7,68.8,89.66
722.0,891.0,784.0,398.0,1055.0,794.0,599.0,421.0,1072.0,600.0,896.0,68.3,58.39,84.3
797.0,983.0,773.0,460.0,1033.0,767.0,589.0,450.0,1011.0,563.0,927.0,65.6,76.24,83.16
1135.0,1234.0,1020.0,530.0,1159.0,716.0,703.0,438.0,995.0,585.0,1090.0,100.4,76.19,81.03
696.0,846.0,705.0,410.0,911.0,678.0,521.0,392.0,889.0,514.0,820.0,49.2,62.0,68.0
902.0,1081.0,900.0,458.0,1107.0,785.0,659.0,422.0,1033.0,573.0,967.0,79.3,66.47,78.17
999.0,1184.0,1003.0,428.0,1115.0,821.0,676.0,462.0,1035.0,610.0,1083.0,92.4,63.94,67.21
758.0,840.0,710.0,403.0,972.0,743.0,554.0,404.0,920.0,578.0,814.0,52.1,62.0,67.0
971.0,1100.0,889.0,447.0,1195.0,698.0,717.0,476.0,996.0,541.0,992.0,85.9,77.31,71.56
648.0,847.0,753.0,414.0,938.0,825.0,539.0,406.0,1094.0,613.0,849.0,54.3,64.36,79.86
703.0,875.0,715.0,452.0,1015.0,791.0,605.0,394.0,1023.0,593.0,805.0,60.4,64.0,77.0
645.0,815.0,649.0,441.0,889.0,690.0,520.0,404.0,894.0,551.0,800.0,44.9,52.0,69.0
691.0,881.0,740.0,425.0,971.0,792.0,551.0,419.0,1030.0,608.0,862.0,56.6,68.0,82.0
755.0,944.0,752.0,455.0,959.0,695.0,596.0,404.0,954.0,538.0,872.0,56.1,66.0,70.0
796.0,964.0,863.0,436.0,1056.0,828.0,656.0,455.0,1071.0,593.0,945.0,75.0,74.05,81.28
1097.0,1253.0,1020.0,509.0,1275.0,756.0,746.0,470.0,1032.0,596.0,1146.0,104.2,66.75,91.57
877.0,907.0,763.0,393.0,960.0,749.0,578.0,390.0,910.0,543.0,866.0,56.6,64.52,76.03
752.0,988.0,770.0,473.0,1048.0,838.0,608.0,431.0,1056.0,625.0,908.0,71.3,56.0,66.0
833.0,889.0,787.0,475.0,1016.0,861.0,578.0,409.0,1089.0,620.0,874.0,65.8,64.15,82.23
850.0,965.0,808.0,440.0,1065.0,775.0,665.0,447.0,986.0,619.0,936.0,69.8,64.0,75.0
740.0,929.0,793.0,437.0,955.0,724.0,584.0,410.0,920.0,545.0,869.0,58.3,60.08,80.54
761.0,909.0,788.0,438.0,1042.0,867.0,641.0,430.0,1099.0,637.0,900.0,72.1,60.07,69.97
762.0,890.0,799.0,402.0,959.0,728.0,575.0,412.0,956.0,548.0,883.0,57.2,58.59,68.31
