Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
24.0,173.0,59.0,39.0,Rectangle,0.0,0.0,1.0,0.0,60.0
22.0,166.0,60.0,36.0,Hourglass,1.0,0.0,0.0,0.0,63.1
39.0,173.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,60.9
49.0,172.0,75.0,39.0,Rectangle,0.0,0.0,1.0,0.0,75.3
20.0,169.0,55.0,39.0,Rectangle,0.0,0.0,1.0,0.0,51.0
33.0,176.0,96.0,39.0,Rectangle,0.0,0.0,1.0,0.0,96.3
22.4,163.0,57.0,37.0,Triangle,0.0,0.0,0.0,1.0,56.3
51.2,165.0,60.0,38.0,Rectangle,0.0,0.0,1.0,0.0,60.7
44.0,176.0,68.0,40.0,Rectangle,0.0,0.0,1.0,0.0,69.6
19.1,162.0,73.0,37.0,Triangle,0.0,0.0,0.0,1.0,73.2
21.0,169.0,64.0,40.0,Rectangle,0.0,0.0,1.0,0.0,65.1
63.0,178.0,100.0,41.0,Rectangle,0.0,0.0,1.0,0.0,103.4
48.0,167.0,72.0,38.0,Rectangle,0.0,0.0,1.0,0.0,74.2
64.6,160.0,59.0,39.0,Rectangle,0.0,0.0,1.0,0.0,57.1
57.0,169.0,105.0,40.0,Rectangle,0.0,0.0,1.0,0.0,107.0
18.1,165.0,58.0,38.0,Hourglass,1.0,0.0,0.0,0.0,57.6
23.0,167.0,54.0,39.0,Rectangle,0.0,0.0,1.0,0.0,55.2
22.1,168.0,53.5,38.0,Triangle,0.0,0.0,0.0,1.0,55.1
20.4,158.0,47.0,35.5,Triangle,0.0,0.0,0.0,1.0,46.6
37.0,178.0,87.0,40.0,Rectangle,0.0,0.0,1.0,0.0,86.6
22.0,168.0,65.0,40.0,Hourglass,1.0,0.0,0.0,0.0,66.3
22.0,165.0,67.0,39.0,Hourglass,1.0,0.0,0.0,0.0,71.2
40.0,159.0,74.0,49.0,Rectangle,0.0,0.0,1.0,0.0,76.2
42.0,185.0,100.0,41.0,Rectangle,0.0,0.0,1.0,0.0,100.7
43.5,163.0,50.0,35.5,Triangle,0.0,0.0,0.0,1.0,49.6
45.0,181.0,82.5,40.0,Hourglass,1.0,0.0,0.0,0.0,84.0
22.4,178.0,62.0,39.0,Rectangle,0.0,0.0,1.0,0.0,63.6
21.4,168.0,53.0,37.0,Rectangle,0.0,0.0,1.0,0.0,53.5
20.4,165.0,50.0,37.5,Hourglass,1.0,0.0,0.0,0.0,51.2
32.0,176.0,55.0,39.0,Rectangle,0.0,0.0,1.0,0.0,55.7
58.0,162.0,80.0,39.0,Rectangle,0.0,0.0,1.0,0.0,81.4
24.0,178.0,60.0,39.0,Hourglass,1.0,0.0,0.0,0.0,55.8
55.0,170.0,76.0,41.0,Rectangle,0.0,0.0,1.0,0.0,78.2
19.5,170.0,50.0,39.0,Rectangle,0.0,0.0,1.0,0.0,50.1
19.8,167.0,50.0,39.0,Rectangle,0.0,0.0,1.0,0.0,52.8
52.0,167.0,82.0,39.0,Rectangle,0.0,0.0,1.0,0.0,79.1
39.0,170.0,95.0,41.5,Rectangle,0.0,0.0,1.0,0.0,95.6
21.3,169.0,53.0,39.0,Hourglass,1.0,0.0,0.0,0.0,50.5
27.0,169.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,60.3
34.0,167.0,62.0,39.0,Hourglass,1.0,0.0,0.0,0.0,66.2
61.0,168.0,88.0,39.0,Rectangle,0.0,0.0,1.0,0.0,89.3
