"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
774.0,916.0,747.0,415.0,985.0,735.0,555.0,399.0,978.0,564.0,852.0,68.0,80.0
685.0,898.0,760.0,373.0,924.0,809.0,492.0,402.0,1032.0,567.0,831.0,56.13,80.66
824.0,1032.0,849.0,426.0,1036.0,754.0,579.0,424.0,984.0,538.0,908.0,76.7,75.29
774.0,951.0,812.0,420.0,972.0,793.0,553.0,404.0,1020.0,560.0,832.0,69.37,83.58
882.0,1049.0,830.0,424.0,1087.0,763.0,631.0,457.0,1010.0,564.0,939.0,60.65,82.02
720.0,893.0,754.0,439.0,950.0,785.0,539.0,402.0,1030.0,619.0,840.0,61.0,73.0
774.0,930.0,783.0,422.0,1007.0,726.0,577.0,395.0,953.0,546.0,874.0,49.33,71.06
683.0,882.0,735.0,407.0,930.0,769.0,515.0,408.0,1023.0,564.0,862.0,59.86,79.23
995.0,1128.0,910.0,491.0,1202.0,795.0,701.0,481.0,1034.0,585.0,1014.0,66.74,77.36
667.0,840.0,713.0,423.0,910.0,697.0,522.0,362.0,894.0,558.0,802.0,62.0,68.0
940.0,1110.0,890.0,450.0,1050.0,817.0,642.0,464.0,1024.0,597.0,1034.0,67.26,85.5
773.0,820.0,710.0,413.0,900.0,799.0,507.0,413.0,1008.0,610.0,826.0,67.0,75.0
751.0,900.0,798.0,434.0,1106.0,846.0,618.0,451.0,1104.0,620.0,872.0,66.41,83.93
685.0,887.0,729.0,405.0,909.0,661.0,525.0,398.0,903.0,543.0,837.0,64.0,71.0
685.0,860.0,719.0,382.0,1019.0,802.0,582.0,420.0,1034.0,620.0,824.0,64.56,81.42
871.0,1053.0,897.0,448.0,1160.0,793.0,703.0,475.0,1075.0,607.0,974.0,62.09,76.81
778.0,956.0,770.0,414.0,916.0,710.0,533.0,412.0,948.0,579.0,911.0,71.0,78.0
706.0,852.0,764.0,399.0,910.0,774.0,504.0,392.0,1009.0,564.0,838.0,63.93,82.3
905.0,1080.0,881.0,484.0,1075.0,814.0,637.0,434.0,1057.0,611.0,1002.0,72.94,81.73
985.0,1089.0,902.0,445.0,1072.0,685.0,633.0,445.0,937.0,535.0,1027.0,49.6,63.7
752.0,918.0,744.0,416.0,1054.0,709.0,597.0,402.0,953.0,575.0,891.0,53.0,68.0
608.0,828.0,682.0,432.0,884.0,677.0,515.0,372.0,895.0,534.0,762.0,50.0,60.0
771.0,909.0,783.0,418.0,954.0,869.0,550.0,402.0,1067.0,616.0,864.0,69.27,81.05
747.0,940.0,785.0,423.0,920.0,680.0,515.0,413.0,920.0,544.0,848.0,61.0,74.0
928.0,1029.0,990.0,496.0,970.0,844.0,534.0,444.0,1038.0,615.0,1055.0,73.51,90.83
665.0,911.0,725.0,397.0,969.0,779.0,563.0,397.0,1036.0,574.0,861.0,67.22,84.86
739.0,908.0,779.0,425.0,965.0,795.0,552.0,388.0,1038.0,590.0,870.0,52.03,77.45
757.0,905.0,802.0,440.0,980.0,837.0,592.0,449.0,1062.0,613.0,899.0,76.28,84.3
648.0,847.0,753.0,414.0,938.0,825.0,539.0,406.0,1094.0,613.0,849.0,64.36,79.86
701.0,876.0,765.0,435.0,1007.0,802.0,570.0,409.0,1043.0,572.0,880.0,61.02,81.75
775.0,949.0,771.0,464.0,1124.0,768.0,631.0,410.0,1005.0,565.0,884.0,69.48,76.41
830.0,950.0,781.0,408.0,1015.0,771.0,565.0,413.0,992.0,618.0,906.0,66.0,77.0
