"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
853.0,942.0,485.0,940.0,888.0,544.0,474.0,1098.0,677.0,962.0,79.0,68.86,103.86
832.0,932.0,500.0,986.0,785.0,583.0,435.0,992.0,604.0,970.0,74.5,64.0,83.0
790.0,920.0,465.0,960.0,769.0,560.0,458.0,966.0,630.0,950.0,64.7,64.0,72.0
1076.0,1137.0,561.0,1182.0,869.0,683.0,490.0,1122.0,681.0,1136.0,110.9,82.72,99.56
900.0,1090.0,481.0,1034.0,795.0,615.0,510.0,975.0,640.0,1110.0,88.0,68.0,81.0
888.0,1050.0,505.0,1002.0,808.0,579.0,463.0,999.0,640.0,1037.0,77.0,62.0,75.0
889.0,926.0,465.0,955.0,809.0,551.0,453.0,1021.0,636.0,951.0,70.6,74.0,81.0
954.0,1059.0,470.0,1016.0,825.0,546.0,469.0,1032.0,631.0,1042.0,82.6,65.11,78.91
805.0,884.0,476.0,947.0,780.0,576.0,451.0,995.0,602.0,927.0,65.2,60.0,78.0
732.0,887.0,436.0,912.0,871.0,509.0,454.0,1066.0,605.0,946.0,59.8,76.94,81.64
825.0,1004.0,481.0,1027.0,840.0,581.0,471.0,1070.0,645.0,1025.0,80.7,60.06,85.63
972.0,994.0,471.0,1090.0,725.0,594.0,446.0,964.0,633.0,1036.0,82.3,64.0,75.0
734.0,854.0,458.0,897.0,755.0,526.0,414.0,967.0,588.0,889.0,57.0,70.0,79.0
809.0,866.0,465.0,920.0,845.0,529.0,408.0,1025.0,660.0,896.0,66.7,76.0,76.0
896.0,1011.0,502.0,1057.0,886.0,609.0,493.0,1143.0,699.0,1039.0,85.1,64.04,96.8
825.0,941.0,452.0,975.0,734.0,570.0,471.0,996.0,603.0,970.0,70.1,66.0,82.0
791.0,933.0,450.0,870.0,852.0,493.0,430.0,1045.0,661.0,937.0,61.9,68.0,83.0
857.0,902.0,482.0,969.0,888.0,540.0,449.0,1147.0,643.0,921.0,77.2,74.6,97.94
876.0,952.0,488.0,979.0,782.0,603.0,464.0,970.0,628.0,983.0,74.5,74.0,80.0
880.0,973.0,456.0,1018.0,785.0,580.0,458.0,1052.0,628.0,964.0,73.2,74.0,87.0
873.0,981.0,478.0,1069.0,811.0,618.0,493.0,1003.0,659.0,988.0,78.8,76.0,81.0
765.0,851.0,463.0,915.0,809.0,509.0,440.0,1033.0,635.0,881.0,59.3,56.0,72.0
820.0,945.0,456.0,972.0,847.0,548.0,476.0,1038.0,617.0,977.0,67.1,59.86,81.6
894.0,928.0,465.0,982.0,844.0,526.0,470.0,1018.0,614.0,969.0,67.0,71.34,81.75
761.0,870.0,453.0,953.0,756.0,537.0,443.0,960.0,611.0,904.0,65.7,67.61,92.59
850.0,929.0,449.0,963.0,816.0,556.0,445.0,1004.0,637.0,961.0,67.8,68.64,88.0
823.0,939.0,481.0,964.0,767.0,568.0,460.0,991.0,645.0,986.0,71.2,74.0,83.0
