Subject Number,Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
15690,20.0,160.0,75.0,41.0,Triangle,0.0,0.0,0.0,1.0,81.8
16451,27.0,172.0,82.0,37.0,Hourglass,1.0,0.0,0.0,0.0,82.0
16672,27.0,168.0,58.0,38.0,Hourglass,1.0,0.0,0.0,0.0,57.5
15435,40.0,173.0,70.0,39.0,Rectangle,0.0,0.0,1.0,0.0,72.1
11431,64.0,172.0,110.0,39.0,Rectangle,0.0,0.0,1.0,0.0,106.3
4203,19.0,163.0,54.0,37.0,Rectangle,0.0,0.0,1.0,0.0,56.6
14047,27.0,183.0,85.5,43.0,Hourglass,1.0,0.0,0.0,0.0,87.8
16687,20.0,169.0,55.0,39.0,Rectangle,0.0,0.0,1.0,0.0,51.0
4684,21.9,162.0,59.0,37.5,Hourglass,1.0,0.0,0.0,0.0,58.8
15595,21.0,175.0,78.0,39.0,Hourglass,1.0,0.0,0.0,0.0,78.4
16402,55.0,163.0,69.0,39.0,Hourglass,1.0,0.0,0.0,0.0,67.0
16972,20.0,162.0,49.0,39.0,Rectangle,0.0,0.0,1.0,0.0,49.4
15734,35.0,163.0,58.0,37.0,Hourglass,1.0,0.0,0.0,0.0,61.2
15847,44.0,173.0,72.0,40.0,Hourglass,1.0,0.0,0.0,0.0,76.6
12274,22.0,159.0,54.0,36.0,Rectangle,0.0,0.0,1.0,0.0,53.4
16562,52.0,150.0,92.0,38.0,Rectangle,0.0,0.0,1.0,0.0,90.5
16277,54.0,153.0,57.0,35.0,Rectangle,0.0,0.0,1.0,0.0,59.9
4422,47.9,163.0,59.0,38.5,Rectangle,0.0,0.0,1.0,0.0,60.0
15686,23.0,167.0,54.0,39.0,Rectangle,0.0,0.0,1.0,0.0,55.2
11169,63.0,162.0,66.0,38.0,Rectangle,0.0,0.0,1.0,0.0,67.8
11438,26.0,166.0,64.0,40.5,Rectangle,0.0,0.0,1.0,0.0,61.9
16331,41.0,165.0,71.0,39.0,Rectangle,0.0,0.0,1.0,0.0,72.9
4680,25.1,170.0,56.0,39.5,Rectangle,0.0,0.0,1.0,0.0,55.9
15836,44.0,160.0,60.0,37.0,Rectangle,0.0,0.0,1.0,0.0,61.8
16705,21.0,170.0,56.0,39.0,Rectangle,0.0,0.0,1.0,0.0,55.0
15471,53.0,170.0,96.0,39.5,Rectangle,0.0,0.0,1.0,0.0,96.3
4246,24.2,162.0,48.0,38.0,Rectangle,0.0,0.0,1.0,0.0,49.9
15411,26.0,175.0,85.0,41.0,Rectangle,0.0,0.0,1.0,0.0,84.5
4510,31.8,170.0,53.0,37.5,Rectangle,0.0,0.0,1.0,0.0,52.5
15372,41.0,176.0,72.0,42.0,Hourglass,1.0,0.0,0.0,0.0,73.2
4406,58.2,155.0,50.0,36.0,Rectangle,0.0,0.0,1.0,0.0,49.8
15375,24.0,167.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,60.9
17076,32.0,160.0,78.0,39.0,Hourglass,1.0,0.0,0.0,0.0,81.0
4674,30.4,155.0,53.0,35.5,Rectangle,0.0,0.0,1.0,0.0,56.1
11280,45.0,161.0,50.0,37.0,Rectangle,0.0,0.0,1.0,0.0,52.5
15219,54.0,172.0,75.4,39.0,Rectangle,0.0,0.0,1.0,0.0,77.7
16278,66.0,153.0,72.0,36.0,Rectangle,0.0,0.0,1.0,0.0,75.0
4219,32.6,160.0,60.0,36.0,Hourglass,1.0,0.0,0.0,0.0,61.8
4022,26.6,150.0,46.0,36.0,Hourglass,1.0,0.0,0.0,0.0,46.4
15321,38.0,174.0,59.0,39.5,Rectangle,0.0,0.0,1.0,0.0,59.7
4663,22.1,150.0,52.0,36.0,Rectangle,0.0,0.0,1.0,0.0,51.8
15223,31.0,172.0,65.0,41.0,Rectangle,0.0,0.0,1.0,0.0,81.2
16391,25.0,170.0,55.0,38.0,Hourglass,1.0,0.0,0.0,0.0,58.1
15629,34.0,168.0,59.0,39.0,Rectangle,0.0,0.0,1.0,0.0,60.4
15363,25.0,175.0,66.0,40.0,Rectangle,0.0,0.0,1.0,0.0,66.4
16721,24.0,175.0,55.0,39.0,Hourglass,1.0,0.0,0.0,0.0,54.3
11116,52.0,169.0,62.0,41.0,Hourglass,1.0,0.0,0.0,0.0,61.3
15480,56.0,165.0,69.0,38.0,Hourglass,1.0,0.0,0.0,0.0,69.9
4292,20.3,168.0,63.0,39.0,Rectangle,0.0,0.0,1.0,0.0,64.2
4028,28.6,173.0,57.0,40.0,Triangle,0.0,0.0,0.0,1.0,56.8
11249,30.0,175.0,57.0,39.0,Rectangle,0.0,0.0,1.0,0.0,58.9
4038,18.0,161.0,45.0,38.5,Triangle,0.0,0.0,0.0,1.0,44.0
4371,20.6,170.0,54.0,39.0,Triangle,0.0,0.0,0.0,1.0,52.7
4771,36.0,179.0,69.0,41.0,Hourglass,1.0,0.0,0.0,0.0,69.9
15959,30.0,178.0,64.0,41.0,Rectangle,0.0,0.0,1.0,0.0,65.1
4195,36.8,163.0,50.0,36.0,Rectangle,0.0,0.0,1.0,0.0,50.7
4588,47.4,152.0,56.0,36.5,Rectangle,0.0,0.0,1.0,0.0,56.2
16058,63.0,167.0,76.0,41.0,Rectangle,0.0,0.0,1.0,0.0,74.9
15730,25.0,180.0,77.0,40.0,Hourglass,1.0,0.0,0.0,0.0,78.4
4733,30.2,160.0,53.0,37.0,Hourglass,1.0,0.0,0.0,0.0,53.5
16719,21.0,178.0,80.0,41.0,Hourglass,1.0,0.0,0.0,0.0,76.5
4166,20.2,158.0,58.0,38.0,Hourglass,1.0,0.0,0.0,0.0,57.7
4720,22.5,170.0,63.0,39.0,Triangle,0.0,0.0,0.0,1.0,63.0
4085,23.1,165.0,52.0,37.0,Rectangle,0.0,0.0,1.0,0.0,53.0
15478,19.0,165.0,65.0,38.0,Hourglass,1.0,0.0,0.0,0.0,65.8
4713,23.8,158.0,50.0,37.0,Hourglass,1.0,0.0,0.0,0.0,50.5
4109,21.3,168.0,52.0,38.0,Triangle,0.0,0.0,0.0,1.0,49.6
15670,44.0,176.0,72.0,38.0,Hourglass,1.0,0.0,0.0,0.0,73.5
4226,47.0,153.0,60.0,36.0,Rectangle,0.0,0.0,1.0,0.0,61.9
15479,42.0,152.0,57.0,37.0,Hourglass,1.0,0.0,0.0,0.0,62.2
4370,21.4,157.0,57.8,37.5,Rectangle,0.0,0.0,1.0,0.0,57.0
4748,28.4,166.0,53.0,37.0,Hourglass,1.0,0.0,0.0,0.0,52.6
12198,44.0,176.0,87.0,41.0,Rectangle,0.0,0.0,1.0,0.0,89.8
4776,25.3,163.0,59.0,38.0,Triangle,0.0,0.0,0.0,1.0,58.9
11150,53.0,163.0,96.0,39.0,Rectangle,0.0,0.0,1.0,0.0,98.2
4086,22.5,168.0,56.0,39.5,Rectangle,0.0,0.0,1.0,0.0,58.3
11106,28.0,154.0,62.0,37.0,Hourglass,1.0,0.0,0.0,0.0,64.8
16622,53.0,178.0,65.0,44.0,Rectangle,0.0,0.0,1.0,0.0,68.9
4306,25.3,170.0,56.0,39.5,Hourglass,1.0,0.0,0.0,0.0,55.6
15858,62.0,165.0,73.0,38.0,Inverted Triangle,0.0,1.0,0.0,0.0,79.0
16315,35.0,172.0,77.0,40.0,Hourglass,1.0,0.0,0.0,0.0,78.4
11154,24.0,172.0,62.0,39.0,Hourglass,1.0,0.0,0.0,0.0,63.7
4694,24.8,160.0,51.0,38.5,Hourglass,1.0,0.0,0.0,0.0,51.2
16018,58.0,162.0,80.0,39.0,Rectangle,0.0,0.0,1.0,0.0,81.4
4117,18.6,173.0,60.0,38.5,Rectangle,0.0,0.0,1.0,0.0,59.2
15676,19.0,180.0,65.0,40.0,Hourglass,1.0,0.0,0.0,0.0,69.5
11161,44.0,163.0,64.0,39.0,Hourglass,1.0,0.0,0.0,0.0,63.9
16677,24.0,173.0,59.0,39.0,Rectangle,0.0,0.0,1.0,0.0,60.0
4533,21.9,170.0,62.0,38.0,Rectangle,0.0,0.0,1.0,0.0,62.2
16345,34.0,172.0,68.0,38.5,Hourglass,1.0,0.0,0.0,0.0,67.0
4189,40.5,155.0,48.0,35.5,Rectangle,0.0,0.0,1.0,0.0,50.3
4354,18.8,170.0,54.0,38.5,Triangle,0.0,0.0,0.0,1.0,51.8
15120,34.0,154.0,47.5,36.0,Hourglass,1.0,0.0,0.0,0.0,48.3
4712,27.0,177.0,64.0,40.0,Hourglass,1.0,0.0,0.0,0.0,67.2
16534,29.0,178.0,67.0,41.0,Hourglass,1.0,0.0,0.0,0.0,66.5
4009,23.3,164.0,55.0,38.5,Rectangle,0.0,0.0,1.0,0.0,55.3
15418,43.0,176.0,87.0,42.0,Rectangle,0.0,0.0,1.0,0.0,87.5
4742,30.3,158.0,60.0,38.0,Hourglass,1.0,0.0,0.0,0.0,58.6
11406,36.0,167.0,60.0,39.0,Hourglass,1.0,0.0,0.0,0.0,60.4
4386,42.6,170.0,66.0,40.0,Rectangle,0.0,0.0,1.0,0.0,67.0
15961,35.0,160.0,45.0,37.0,Hourglass,1.0,0.0,0.0,0.0,45.7
4544,23.8,163.0,50.0,37.5,Rectangle,0.0,0.0,1.0,0.0,51.8
15594,43.0,165.0,75.0,37.0,Triangle,0.0,0.0,0.0,1.0,81.0
15466,27.0,176.0,67.0,39.0,Hourglass,1.0,0.0,0.0,0.0,68.9
15443,36.0,168.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,65.9
4098,56.5,160.0,55.0,37.5,Rectangle,0.0,0.0,1.0,0.0,64.5
4404,39.7,165.0,68.0,38.0,Rectangle,0.0,0.0,1.0,0.0,68.1
4702,44.6,158.0,94.0,38.5,Rectangle,0.0,0.0,1.0,0.0,92.4
15927,41.0,167.0,84.0,39.0,Rectangle,0.0,0.0,1.0,0.0,82.9
15660,49.0,172.0,75.0,39.0,Rectangle,0.0,0.0,1.0,0.0,75.3
4541,21.3,169.0,53.0,39.0,Hourglass,1.0,0.0,0.0,0.0,50.5
16228,39.0,175.0,64.0,42.0,Triangle,0.0,0.0,0.0,1.0,65.8
4232,29.1,158.0,50.0,36.0,Rectangle,0.0,0.0,1.0,0.0,51.7
4666,37.7,165.0,81.0,36.5,Hourglass,1.0,0.0,0.0,0.0,81.7
16038,30.0,175.0,114.0,42.0,Inverted Triangle,0.0,1.0,0.0,0.0,111.7
15949,46.0,161.0,135.0,39.0,Rectangle,0.0,0.0,1.0,0.0,143.0
16376,55.0,167.0,90.0,39.0,Rectangle,0.0,0.0,1.0,0.0,90.1
4665,19.1,155.0,46.0,36.5,Rectangle,0.0,0.0,1.0,0.0,46.1
15759,39.0,167.0,67.0,39.0,Triangle,0.0,0.0,0.0,1.0,67.3
4613,55.8,157.0,57.0,37.0,Rectangle,0.0,0.0,1.0,0.0,57.3
15356,33.0,172.0,70.0,41.0,Triangle,0.0,0.0,0.0,1.0,67.2
4327,20.4,162.0,46.0,36.0,Rectangle,0.0,0.0,1.0,0.0,48.7
4175,20.4,158.0,47.0,35.5,Triangle,0.0,0.0,0.0,1.0,46.6
4766,23.5,157.0,57.0,36.0,Rectangle,0.0,0.0,1.0,0.0,55.5
4605,21.0,160.0,56.0,38.5,Rectangle,0.0,0.0,1.0,0.0,53.2
15848,60.0,168.0,78.0,40.0,Hourglass,1.0,0.0,0.0,0.0,79.8
4146,18.8,167.0,67.0,38.5,Triangle,0.0,0.0,0.0,1.0,57.9
4747,24.6,173.0,58.0,39.5,Hourglass,1.0,0.0,0.0,0.0,57.6
4468,51.2,165.0,60.0,38.0,Rectangle,0.0,0.0,1.0,0.0,60.7
15646,54.0,160.0,77.0,38.0,Rectangle,0.0,0.0,1.0,0.0,78.6
4414,19.2,170.0,63.0,37.5,Triangle,0.0,0.0,0.0,1.0,65.7
4237,35.1,163.0,57.0,37.0,Rectangle,0.0,0.0,1.0,0.0,56.8
4703,20.4,165.0,50.0,37.5,Hourglass,1.0,0.0,0.0,0.0,51.2
15522,32.0,162.0,82.0,37.0,Rectangle,0.0,0.0,1.0,0.0,83.0
4243,19.9,170.0,55.0,40.0,Rectangle,0.0,0.0,1.0,0.0,61.1
4628,20.5,160.0,52.0,39.0,Rectangle,0.0,0.0,1.0,0.0,50.1
16683,24.0,167.0,54.0,37.0,Triangle,0.0,0.0,0.0,1.0,54.0
16571,20.0,181.0,68.0,42.0,Rectangle,0.0,0.0,1.0,0.0,66.0
11232,36.0,170.0,58.0,39.0,Hourglass,1.0,0.0,0.0,0.0,57.6
11305,54.0,170.0,56.0,38.0,Hourglass,1.0,0.0,0.0,0.0,52.6
16110,45.0,163.0,57.0,38.0,Rectangle,0.0,0.0,1.0,0.0,57.1
16239,19.0,176.0,60.0,39.0,Rectangle,0.0,0.0,1.0,0.0,57.4
4695,22.2,172.0,55.0,39.0,Triangle,0.0,0.0,0.0,1.0,54.4
12380,50.0,167.0,61.0,38.0,Hourglass,1.0,0.0,0.0,0.0,62.0
15214,55.0,170.0,60.0,39.0,Triangle,0.0,0.0,0.0,1.0,59.4
4142,18.5,157.0,55.0,39.0,Rectangle,0.0,0.0,1.0,0.0,59.3
16642,43.0,165.0,59.0,40.0,Hourglass,1.0,0.0,0.0,0.0,59.0
16641,48.0,171.0,100.0,42.0,Inverted Triangle,0.0,1.0,0.0,0.0,108.0
11202,62.0,158.0,72.0,39.0,Rectangle,0.0,0.0,1.0,0.0,73.5
15351,24.0,180.0,100.0,42.0,Rectangle,0.0,0.0,1.0,0.0,104.8
15635,57.0,169.0,105.0,40.0,Rectangle,0.0,0.0,1.0,0.0,107.0
16189,32.0,175.0,68.0,39.0,Hourglass,1.0,0.0,0.0,0.0,68.0
4435,53.1,160.0,75.0,39.0,Hourglass,1.0,0.0,0.0,0.0,75.8
15337,36.0,156.0,60.0,36.0,Hourglass,1.0,0.0,0.0,0.0,60.9
4199,44.4,162.0,53.0,37.5,Rectangle,0.0,0.0,1.0,0.0,53.3
4439,20.3,157.0,50.0,38.0,Rectangle,0.0,0.0,1.0,0.0,50.8
11384,43.0,171.0,70.0,39.0,Rectangle,0.0,0.0,1.0,0.0,77.0
12223,38.0,163.0,62.0,39.0,Triangle,0.0,0.0,0.0,1.0,64.7
4606,22.5,157.0,65.0,37.0,Rectangle,0.0,0.0,1.0,0.0,65.7
4467,35.2,150.0,42.0,36.5,Triangle,0.0,0.0,0.0,1.0,42.9
15653,19.0,180.0,70.0,42.0,Hourglass,1.0,0.0,0.0,0.0,78.0
12257,57.0,173.0,87.0,41.0,Rectangle,0.0,0.0,1.0,0.0,86.3
4049,60.1,160.0,72.0,37.0,Hourglass,1.0,0.0,0.0,0.0,75.6
16388,24.0,175.0,65.8,39.0,Hourglass,1.0,0.0,0.0,0.0,66.0
4388,34.8,156.0,50.0,37.0,Hourglass,1.0,0.0,0.0,0.0,49.7
15502,58.0,158.0,54.0,38.0,Rectangle,0.0,0.0,1.0,0.0,54.3
15333,34.0,167.0,75.0,40.0,Hourglass,1.0,0.0,0.0,0.0,80.7
4462,26.4,163.0,54.0,37.0,Hourglass,1.0,0.0,0.0,0.0,57.7
4787,22.0,169.0,55.5,39.5,Triangle,0.0,0.0,0.0,1.0,56.3
16818,22.0,168.0,69.0,41.0,Rectangle,0.0,0.0,1.0,0.0,72.0
4550,22.4,160.0,56.0,38.0,Hourglass,1.0,0.0,0.0,0.0,56.1
4253,19.3,168.0,51.0,38.0,Rectangle,0.0,0.0,1.0,0.0,51.5
4528,24.5,153.0,50.0,36.0,Hourglass,1.0,0.0,0.0,0.0,51.5
4719,23.9,169.0,58.0,38.0,Hourglass,1.0,0.0,0.0,0.0,56.6
4393,27.6,165.0,56.0,37.0,Rectangle,0.0,0.0,1.0,0.0,54.9
4472,58.6,179.0,65.4,38.5,Hourglass,1.0,0.0,0.0,0.0,64.5
15707,60.0,166.0,59.5,39.0,Rectangle,0.0,0.0,1.0,0.0,59.2
15393,34.0,171.0,58.0,41.0,Hourglass,1.0,0.0,0.0,0.0,58.4
11339,20.0,178.0,79.0,39.0,Rectangle,0.0,0.0,1.0,0.0,75.4
4167,20.4,163.0,52.0,37.0,Triangle,0.0,0.0,0.0,1.0,57.2
15549,41.0,166.0,54.0,38.0,Triangle,0.0,0.0,0.0,1.0,56.1
