"Waist Circumference, Pref (mm)",Chest Girth (Chest Circumference at Scye) (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm)
875.0,972.0,439.0,1062.0,718.0
749.0,868.0,435.0,970.0,721.0
830.0,923.0,456.0,1052.0,817.0
1115.0,1115.0,443.0,1120.0,792.0
933.0,941.0,462.0,1065.0,831.0
730.0,892.0,420.0,988.0,810.0
811.0,891.0,414.0,970.0,795.0
769.0,845.0,452.0,960.0,803.0
726.0,767.0,375.0,930.0,714.0
722.0,816.0,435.0,918.0,762.0
784.0,895.0,434.0,1106.0,762.0
868.0,911.0,435.0,1060.0,831.0
681.0,811.0,427.0,930.0,761.0
804.0,894.0,413.0,1065.0,806.0
1016.0,1051.0,468.0,1160.0,728.0
1025.0,1029.0,470.0,1100.0,794.0
878.0,856.0,420.0,1020.0,805.0
735.0,802.0,409.0,940.0,743.0
746.0,831.0,421.0,1072.0,809.0
788.0,910.0,452.0,1072.0,825.0
773.0,941.0,412.0,1051.0,826.0
840.0,919.0,426.0,1091.0,700.0
980.0,1095.0,494.0,1153.0,813.0
916.0,983.0,464.0,1005.0,715.0
725.0,855.0,437.0,980.0,733.0
795.0,887.0,452.0,1066.0,786.0
702.0,825.0,419.0,937.0,724.0
909.0,1016.0,459.0,944.0,730.0
690.0,848.0,408.0,947.0,793.0
1011.0,1030.0,435.0,1165.0,841.0
878.0,936.0,457.0,1059.0,880.0
746.0,868.0,406.0,978.0,829.0
771.0,899.0,405.0,1030.0,830.0
730.0,799.0,442.0,999.0,828.0
990.0,1028.0,427.0,1129.0,730.0
790.0,897.0,418.0,1039.0,726.0
707.0,785.0,430.0,931.0,788.0
892.0,905.0,436.0,1120.0,864.0
917.0,959.0,412.0,1075.0,783.0
820.0,932.0,457.0,1087.0,757.0
752.0,932.0,445.0,960.0,755.0
1062.0,1060.0,471.0,1156.0,657.0
1053.0,1051.0,500.0,1272.0,795.0
777.0,911.0,438.0,1077.0,845.0
683.0,841.0,410.0,977.0,753.0
805.0,909.0,449.0,1035.0,765.0
708.0,849.0,415.0,1026.0,784.0
762.0,914.0,444.0,1026.0,752.0
784.0,878.0,432.0,1125.0,740.0
750.0,858.0,429.0,992.0,684.0
874.0,941.0,463.0,938.0,802.0
660.0,774.0,422.0,950.0,721.0
688.0,838.0,406.0,924.0,771.0
842.0,893.0,427.0,950.0,802.0
727.0,883.0,431.0,1025.0,734.0
890.0,972.0,435.0,1038.0,765.0
572.0,747.0,410.0,828.0,698.0
794.0,787.0,416.0,961.0,763.0
760.0,819.0,431.0,982.0,746.0
796.0,884.0,485.0,1039.0,880.0
680.0,811.0,393.0,991.0,792.0
750.0,776.0,427.0,916.0,890.0
932.0,971.0,445.0,1069.0,827.0
1040.0,1087.0,470.0,1160.0,801.0
753.0,811.0,427.0,926.0,765.0
874.0,914.0,417.0,1170.0,723.0
743.0,867.0,405.0,930.0,688.0
737.0,886.0,410.0,930.0,750.0
1064.0,1087.0,494.0,1239.0,745.0
890.0,1016.0,461.0,1065.0,793.0
929.0,980.0,498.0,1155.0,791.0
783.0,828.0,435.0,940.0,744.0
798.0,928.0,448.0,1063.0,730.0
847.0,967.0,420.0,1104.0,787.0
782.0,834.0,405.0,903.0,764.0
804.0,970.0,454.0,1100.0,806.0
812.0,911.0,416.0,1074.0,702.0
689.0,832.0,431.0,1005.0,796.0
702.0,822.0,411.0,963.0,743.0
905.0,971.0,430.0,1087.0,846.0
971.0,983.0,441.0,1153.0,758.0
822.0,880.0,443.0,904.0,753.0
775.0,934.0,460.0,1034.0,890.0
755.0,875.0,433.0,882.0,867.0
882.0,959.0,448.0,1162.0,787.0
845.0,980.0,464.0,1087.0,800.0
805.0,882.0,401.0,1054.0,792.0
763.0,784.0,409.0,927.0,775.0
903.0,1081.0,438.0,1113.0,808.0
892.0,973.0,397.0,1071.0,833.0
702.0,793.0,425.0,891.0,816.0
984.0,1080.0,443.0,1045.0,910.0
1099.0,1027.0,445.0,1135.0,778.0
603.0,787.0,426.0,894.0,715.0
879.0,989.0,424.0,1168.0,799.0
810.0,901.0,446.0,1038.0,891.0
884.0,1101.0,446.0,1150.0,784.0
726.0,899.0,410.0,1001.0,820.0
740.0,801.0,422.0,967.0,792.0
740.0,895.0,415.0,955.0,765.0
705.0,860.0,417.0,975.0,726.0
747.0,907.0,435.0,1116.0,773.0
983.0,1041.0,424.0,1053.0,715.0
849.0,958.0,421.0,990.0,828.0
774.0,879.0,421.0,968.0,764.0
673.0,781.0,379.0,976.0,780.0
810.0,835.0,435.0,960.0,787.0
804.0,871.0,440.0,1044.0,778.0
891.0,991.0,477.0,1025.0,745.0
780.0,880.0,393.0,1053.0,788.0
617.0,825.0,410.0,940.0,670.0
975.0,1066.0,505.0,1286.0,843.0
928.0,1055.0,496.0,970.0,844.0
716.0,868.0,387.0,1008.0,836.0
714.0,867.0,399.0,951.0,761.0
834.0,929.0,415.0,1034.0,700.0
636.0,806.0,390.0,878.0,695.0
797.0,809.0,414.0,934.0,826.0
795.0,913.0,458.0,1087.0,775.0
608.0,762.0,432.0,884.0,677.0
811.0,844.0,445.0,977.0,739.0
964.0,985.0,480.0,1096.0,802.0
748.0,823.0,380.0,965.0,774.0
882.0,939.0,424.0,1087.0,763.0
792.0,823.0,436.0,974.0,800.0
735.0,805.0,418.0,975.0,701.0
792.0,946.0,465.0,1119.0,761.0
840.0,912.0,423.0,1102.0,826.0
685.0,824.0,382.0,1019.0,802.0
756.0,902.0,445.0,1027.0,756.0
1058.0,1114.0,510.0,1171.0,794.0
634.0,854.0,425.0,920.0,752.0
664.0,791.0,379.0,912.0,772.0
803.0,1004.0,436.0,1008.0,713.0
901.0,944.0,425.0,1141.0,770.0
913.0,962.0,480.0,1084.0,733.0
738.0,861.0,420.0,1044.0,798.0
695.0,845.0,404.0,950.0,641.0
784.0,924.0,444.0,1026.0,836.0
722.0,832.0,420.0,915.0,750.0
899.0,984.0,432.0,1033.0,848.0
770.0,845.0,458.0,976.0,772.0
680.0,811.0,405.0,944.0,718.0
928.0,962.0,494.0,1050.0,731.0
780.0,930.0,455.0,1011.0,745.0
774.0,870.0,389.0,1056.0,764.0
734.0,895.0,451.0,1042.0,874.0
725.0,877.0,466.0,982.0,932.0
706.0,838.0,399.0,910.0,774.0
662.0,798.0,424.0,944.0,714.0
884.0,975.0,465.0,1120.0,803.0
690.0,795.0,421.0,912.0,705.0
769.0,910.0,440.0,1124.0,826.0
1189.0,1126.0,515.0,1262.0,803.0
1280.0,1117.0,521.0,1219.0,794.0
970.0,1056.0,491.0,1091.0,785.0
674.0,826.0,405.0,935.0,735.0
1265.0,1120.0,560.0,1419.0,880.0
771.0,902.0,445.0,1032.0,752.0
1074.0,1104.0,472.0,1165.0,821.0
930.0,1019.0,475.0,1114.0,862.0
752.0,985.0,427.0,1092.0,769.0
928.0,1031.0,495.0,977.0,830.0
720.0,860.0,428.0,925.0,775.0
742.0,865.0,458.0,964.0,898.0
720.0,840.0,439.0,950.0,785.0
821.0,952.0,447.0,1102.0,850.0
805.0,910.0,435.0,940.0,650.0
983.0,1067.0,480.0,1096.0,756.0
824.0,957.0,443.0,1010.0,764.0
865.0,942.0,438.0,1129.0,828.0
920.0,921.0,456.0,1065.0,746.0
857.0,922.0,439.0,1098.0,805.0
687.0,781.0,395.0,810.0,785.0
730.0,845.0,465.0,950.0,840.0
766.0,873.0,422.0,990.0,695.0
893.0,1012.0,483.0,1049.0,799.0
1080.0,1115.0,490.0,1249.0,868.0
716.0,838.0,439.0,930.0,798.0
808.0,940.0,432.0,1088.0,796.0
674.0,897.0,396.0,1007.0,798.0
999.0,1083.0,428.0,1115.0,821.0
748.0,935.0,450.0,1025.0,754.0
1032.0,1113.0,587.0,1200.0,739.0
975.0,959.0,465.0,1060.0,732.0
859.0,990.0,432.0,1031.0,740.0
669.0,777.0,426.0,938.0,766.0
936.0,1091.0,471.0,1163.0,791.0
873.0,825.0,425.0,1049.0,757.0
679.0,837.0,447.0,970.0,800.0
871.0,927.0,434.0,1071.0,741.0
790.0,875.0,425.0,900.0,769.0
1005.0,983.0,473.0,1135.0,816.0
662.0,810.0,420.0,940.0,745.0
685.0,837.0,405.0,909.0,661.0
708.0,864.0,425.0,1016.0,782.0
767.0,894.0,426.0,1034.0,802.0
768.0,810.0,444.0,965.0,786.0
839.0,909.0,466.0,1017.0,703.0
694.0,829.0,457.0,983.0,857.0
804.0,940.0,440.0,1132.0,685.0
784.0,918.0,410.0,1105.0,851.0
774.0,898.0,409.0,1002.0,806.0
761.0,885.0,447.0,952.0,741.0
938.0,1012.0,466.0,1132.0,748.0
732.0,850.0,377.0,908.0,735.0
717.0,810.0,392.0,905.0,748.0
747.0,892.0,431.0,1059.0,860.0
703.0,854.0,408.0,990.0,728.0
694.0,884.0,447.0,941.0,749.0
781.0,876.0,469.0,1026.0,764.0
